                                  Instance                                   |                                 SHOTcpx1910@1                                  |                               SHOTcpx1910noref@1                               |                               SHOTcpx1910nrnc@1                                |                              SHOTcpx1910rcnoref@1                              |
autocorr_bern30-08           31    30     1 min -3.220000e+03 -2.952000e+03  |timelim    -9.518963e+03      -- -2.952000e+03      -- 222.46  900.02   906551  |normal     -8.316800e+04      -- -2.771711e+03      --  Large    0.33      144  |timelim    -9.534543e+03      -- -2.952000e+03      -- 222.99  900.02   906551  |normal     -8.316800e+04      -- -2.771711e+03      --  Large    0.35      144  |
autocorr_bern35-04           36    35     1 min -3.840000e+02 -3.840000e+02  |normal     -3.840000e+02    0.00 -3.840000e+02    0.00   0.00  153.96   134665  |normal     -5.632000e+03   Large -3.600000e+02    6.67  Large    0.33    10225  |normal     -3.840000e+02    0.00 -3.840000e+02    0.00   0.00  151.49   134665  |iterlim    -5.632000e+03   Large -3.600000e+02    6.67  Large    0.34    10225  |
autocorr_bern40-05           41    40     1 min -1.021000e+03 -9.360000e+02  |timelim    -2.868938e+03      -- -9.360000e+02      -- 206.51  900.03  4591184  |normal     -1.843200e+04      -- -8.200000e+02      --  Large    0.32     1256  |timelim    -2.855225e+03      -- -9.360000e+02      -- 205.05  900.02  4591184  |normal     -1.843200e+04      -- -8.200000e+02      --  Large    0.51     1256  |
batch0812_nc                 76    36   205 min  2.687027e+06  2.687027e+06  |normal      7.475722e+05  259.43  2.687027e+06    0.00 259.43    0.33        0  |normal      7.475722e+05  259.43  2.687027e+06    0.00 259.43    0.13        0  |normal      7.475722e+05  259.43  2.687027e+06    0.00 259.43    0.13        0  |normal      7.475722e+05  259.43  2.687027e+06    0.00 259.43    0.24        0  |
batch_nc                     34    12    67 min  2.855065e+05  2.855065e+05  |normal      6.041418e+04  372.58  2.855065e+05    0.00 372.58    0.28        0  |normal      6.041418e+04  372.58  2.855065e+05    0.00 372.58    0.10        0  |normal      6.041418e+04  372.58  2.855065e+05    0.00 372.58    0.11        0  |normal      6.041418e+04  372.58  2.855065e+05    0.00 372.58    0.20        0  |
bchoco05                     90     6   130 max  9.927049e-01  9.519030e-01  |normal      1.000000e+00      --  9.518959e-01      --   5.05    2.21        0  |normal      1.000000e+00      --  9.518959e-01      --   5.05    1.07        0  |normal      1.000000e+00      --  9.518959e-01      --   5.05    1.60        0  |normal      1.000000e+00      --  9.518959e-01      --   5.05    1.63        0  |
bchoco06                    118     7   177 max  9.991427e-01  9.627764e-01  |iterlim     1.000000e+00      --  9.573018e-01      --   4.46    5.01        0  |normal      1.000000e+00      --  9.572824e-01      --   4.46    1.93        0  |normal      1.000000e+00      --  9.572824e-01      --   4.46    1.49        0  |normal      1.000000e+00      --  9.573018e-01      --   4.46    3.12        0  |
bchoco07                    134     8   204 max  9.962795e-01  9.629924e-01  |normal      1.000000e+00      --  9.573616e-01      --   4.45    7.75        0  |normal      1.000000e+00      --  9.573616e-01      --   4.45    2.14        0  |normal      1.000000e+00      --  9.573616e-01      --   4.45    2.62        0  |normal      1.000000e+00      --  9.573616e-01      --   4.45    8.60        0  |
blend029                    102    36   225 max  1.335940e+01  1.335940e+01  |normal      1.968940e+01   47.38  1.335940e+01    0.00  47.38    0.52        0  |normal      1.968940e+01   47.38  1.335940e+01    0.00  47.38    0.27        0  |normal      1.968940e+01   47.38  1.335940e+01    0.00  47.38    0.27        0  |normal      1.968940e+01   47.38  1.335940e+01    0.00  47.38    0.41        0  |
blend146                    222    87   648 max  4.604289e+01  4.529657e+01  |normal      4.764330e+01      --  3.493480e+01      --  36.38    4.33     2928  |normal      4.764330e+01      --            --      --     --    1.27      207  |normal      4.764330e+01      --            --      --     --    1.27      207  |normal      4.764330e+01      --  3.493480e+01      --  36.38    4.04     2928  |
blend480                    312   124   916 max  9.226610e+00  9.226600e+00  |normal      1.081680e+01      --            --      --     --    3.99     4887  |normal      1.081680e+01      --            --      --     --    2.83      611  |normal      1.081680e+01      --            --      --     --    2.82      611  |normal      1.081680e+01      --            --      --     --    3.61     4887  |
blend531                    272   104   768 max  2.055328e+01  2.003900e+01  |normal      2.151420e+01      --            --      --     --    4.09      591  |normal      2.151420e+01      --            --      --     --    3.22      145  |normal      2.151420e+01      --            --      --     --    3.22      145  |normal      2.151420e+01      --            --      --     --    3.76      591  |
blend721                    222    87   651 max  1.352680e+01  1.352680e+01  |normal      1.433580e+01    5.98  1.158727e+01   16.74  23.72    4.00     1001  |normal      1.433580e+01    5.98            --     inf     --    1.61      737  |normal      1.433580e+01    5.98            --     inf     --    1.61      737  |normal      1.433580e+01    5.98  1.158727e+01   16.74  23.72    3.71     1001  |
blend852                    304   120   892 max  5.396270e+01  5.396270e+01  |normal      5.471870e+01    1.40  4.666245e+01   15.64  17.26   10.01    10579  |normal      5.471870e+01    1.40            --     inf     --    2.94      803  |normal      5.471870e+01    1.40            --     inf     --    2.96      803  |normal      5.471870e+01    1.40  4.666245e+01   15.64  17.26    9.52    10579  |
carton7                     328   256   719 min  1.917295e+02  1.917295e+02  |normal      5.000000e+01  283.46  3.282441e+02   71.20 556.49    1.19        0  |normal      5.000000e+01  283.46            --     inf     --    0.29        0  |normal      5.000000e+01  283.46            --     inf     --    0.29        0  |normal      5.000000e+01  283.46  3.282441e+02   71.20 556.49    0.64        0  |
casctanks                   500    40   734 min  9.044167e+00  9.163479e+00  |normal      0.000000e+00      --  9.163479e+00      --    inf   12.34        4  |normal      0.000000e+00      --            --      --    inf    8.12        0  |normal      0.000000e+00      --  2.306080e+01      --    inf   10.59        0  |normal      0.000000e+00      --            --      --    inf    8.66        0  |
cecil_13                    840   180   898 min -1.156565e+05 -1.156565e+05  |normal     -4.049874e+05  250.16 -1.083901e+05    6.70 273.64   43.99    40648  |normal     -4.049874e+05  250.16 -1.070891e+05    8.00 278.18    1.32    18355  |normal     -4.049874e+05  250.16 -1.070891e+05    8.00 278.18    1.33    18355  |normal     -4.049874e+05  250.16 -1.083901e+05    6.70 273.64   31.82    19987  |
chp_shorttermplan1a        1008   144  2068 min  2.148391e+02  2.148424e+02  |timelim     1.509171e+02      --  2.148424e+02      --  42.36  906.87  3121391  |timelim     1.509171e+02      --  2.148424e+02      --  42.36  905.17  3179898  |timelim     1.509171e+02      --  2.148424e+02      --  42.36  905.33  3091406  |timelim     1.509171e+02      --  2.148424e+02      --  42.36  906.61  3185981  |
chp_shorttermplan1b        1680   288  3850 min  2.466409e+02  2.541370e+02  |timelim     1.768230e+02      --  2.669631e+02      --  50.98  921.15  1724139  |timelim     1.768230e+02      --  2.771968e+02      --  56.77  922.72  1860367  |timelim     1.768230e+02      --  2.703818e+02      --  52.91  924.85  1735298  |timelim     1.768230e+02      --  2.771968e+02      --  56.77  926.03  1874885  |
chp_shorttermplan2a        1584   240  3896 min  2.457998e+05  2.458004e+05  |timelim     1.352533e+05      --  2.458004e+05      --  81.73  927.37  1721491  |timelim     1.352533e+05      --  2.458004e+05      --  81.73  930.17  1737309  |timelim     1.352533e+05      --  2.458004e+05      --  81.73  930.96  1725044  |timelim     1.352533e+05      --  2.458004e+05      --  81.73  929.05  1737309  |
chp_shorttermplan2b        1392   192  2552 min -1.640968e+05 -1.627352e+05  |normal     -1.589950e+06      -- -1.470829e+05      -- 980.99   40.59    66225  |normal     -1.589950e+06      --            --      --     --    0.75        0  |normal     -1.589950e+06      -- -1.470829e+05      -- 980.99   26.85    61482  |normal     -1.589950e+06      --            --      --     --    5.17    11273  |
chp_shorttermplan2d        3120   528  6838 min  4.479428e+05  4.893821e+05  |timelim    -1.625806e+06      --           inf      --    inf  907.33  1083066  |timelim    -1.623998e+06      --           inf      --    inf  923.72   714240  |timelim    -1.624031e+06      --           inf      --    inf  923.77   697636  |timelim    -1.623998e+06      --           inf      --    inf  923.86   714794  |
crudeoil_lee1_05            535    40  1400 max  7.975000e+01  7.975000e+01  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    1.65       29  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    0.70       29  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    0.70       29  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    0.86       29  |
crudeoil_lee1_06            642    48  1695 max  7.975000e+01  7.975000e+01  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   10.21        0  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    8.14        0  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    8.06        0  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    8.33        0  |
crudeoil_lee1_07            749    56  2000 max  7.975000e+01  7.975000e+01  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    3.42        0  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    1.05        0  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    1.05        0  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00    1.10        0  |
crudeoil_lee1_08            856    64  2315 max  7.975000e+01  7.975000e+01  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   15.29      419  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   11.24      419  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   11.35      419  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   11.73      419  |
crudeoil_lee1_09            963    72  2640 max  7.975000e+01  7.975000e+01  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   16.78      117  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   11.32      117  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   10.93      117  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   12.12      117  |
crudeoil_lee1_10           1070    80  2975 max  7.975000e+01  7.975000e+01  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   16.97      212  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   11.42      212  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   11.39      212  |normal      7.975000e+01    0.00  7.975000e+01    0.00   0.00   12.15      212  |
crudeoil_lee2_05           1155    70  3001 max  9.616988e+01  9.616988e+01  |normal      9.616988e+01    0.00  9.616988e+01    0.00   0.00   14.50        0  |normal      9.616988e+01    0.00  9.616988e+01    0.00   0.00   10.63        0  |normal      9.616988e+01    0.00  9.616988e+01    0.00   0.00   10.65        0  |normal      9.616988e+01    0.00  9.616988e+01    0.00   0.00   10.59        0  |
crudeoil_lee2_06           1386    84  3621 max  1.011746e+02  1.011746e+02  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00    7.39      122  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00    2.27      122  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00    2.27      122  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00    2.27      122  |
crudeoil_lee2_07           1617    98  4258 max  1.011746e+02  1.011746e+02  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00   12.98      135  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00    7.88      135  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00    7.80      135  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00    8.33      135  |
crudeoil_lee2_08           1848   112  4912 max  1.011746e+02  1.011746e+02  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00   13.29        0  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00    8.30        0  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00    8.34        0  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00    8.41        0  |
crudeoil_lee2_09           2079   126  5583 max  1.011746e+02  1.011746e+02  |normal      1.011738e+02   -0.00  1.011738e+02    0.00   0.00   17.50      230  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00   12.79      238  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00   13.34      238  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00   12.83      238  |
crudeoil_lee2_10           2310   140  6271 max  1.011746e+02  1.011746e+02  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00   17.43      304  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00   14.06      312  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00   13.71      312  |normal      1.011746e+02   -0.00  1.011746e+02    0.00   0.00   13.50      312  |
crudeoil_lee3_05           1280    70  3276 max  8.544891e+01  8.544891e+01  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   17.24        0  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   12.24        0  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   11.46        0  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   12.01        0  |
crudeoil_lee3_06           1536    84  3947 max  8.544891e+01  8.544891e+01  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   16.80     1344  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28    9.18     1344  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28    9.13     1344  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   11.58     1344  |
crudeoil_lee3_07           1792    98  4635 max  8.544891e+01  8.544891e+01  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   20.91     1676  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   11.86     1676  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   11.83     1676  |normal      8.740000e+01    2.28  8.544891e+01    0.00   2.28   15.80     1676  |
crudeoil_lee3_08           2048   112  5340 max  8.553645e+01  8.544891e+01  |normal      8.740000e+01      --  8.544891e+01      --   2.28   31.53     5462  |normal      8.740000e+01      --  8.540000e+01      --   2.34    8.10     1083  |normal      8.740000e+01      --  8.540000e+01      --   2.34    8.13     1083  |normal      8.740000e+01      --  8.540000e+01      --   2.34   12.40     1083  |
crudeoil_lee3_09           2304   126  6062 max  8.625000e+01  8.544891e+01  |normal      8.740000e+01      --  8.544891e+01      --   2.28   30.09     1628  |normal      8.740000e+01      --  8.544891e+01      --   2.28   14.44     1983  |normal      8.740000e+01      --  8.544891e+01      --   2.28   14.53     1983  |normal      8.740000e+01      --  8.544891e+01      --   2.28   26.22     1983  |
crudeoil_lee3_10           2560   140  6801 max  8.643333e+01  8.544891e+01  |normal      8.740000e+01      --  8.540000e+01      --   2.34   36.99      929  |normal      8.740000e+01      --  8.516720e+01      --   2.62   18.77     1107  |normal      8.740000e+01      --  8.516720e+01      --   2.62   18.82     1107  |normal      8.740000e+01      --  8.516720e+01      --   2.62   32.97     1107  |
crudeoil_lee4_05           1955    95  5001 max  1.325476e+02  1.325476e+02  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   16.15        0  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   12.02        0  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   12.10        0  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   12.16        0  |
crudeoil_lee4_06           2346   114  6005 max  1.325476e+02  1.325476e+02  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   12.29        0  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00    7.34        0  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00    7.28        0  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00    7.38        0  |
crudeoil_lee4_07           2737   133  7029 max  1.325476e+02  1.325476e+02  |normal      1.324840e+02   -0.05  1.324840e+02    0.05   0.00   18.83        0  |normal      1.324783e+02   -0.05  1.324783e+02    0.05   0.00   13.73        0  |normal      1.324783e+02   -0.05  1.324783e+02    0.05   0.00   13.77        0  |normal      1.324783e+02   -0.05  1.324783e+02    0.05   0.00   12.99        0  |
crudeoil_lee4_08           3128   152  8073 max  1.325476e+02  1.325476e+02  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   19.11        0  |normal      1.324840e+02   -0.05  1.324840e+02    0.05   0.00   15.19        0  |normal      1.324840e+02   -0.05  1.324840e+02    0.05   0.00   15.07        0  |normal      1.324840e+02   -0.05  1.324840e+02    0.05   0.00   14.98        0  |
crudeoil_lee4_09           3519   171  9137 max  1.325476e+02  1.325476e+02  |normal      1.324783e+02   -0.05  1.324783e+02    0.05   0.00   20.60      127  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   17.54        0  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   17.41        0  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   17.50        0  |
crudeoil_lee4_10           3910   190 10221 max  1.325476e+02  1.325476e+02  |normal      1.325476e+02   -0.00  1.325476e+02    0.00   0.00   20.08        0  |normal      1.324783e+02   -0.05  1.324783e+02    0.05   0.00   19.96       72  |normal      1.324783e+02   -0.05  1.324783e+02    0.05   0.00   19.68       72  |normal      1.324783e+02   -0.05  1.324783e+02    0.05   0.00   20.95       72  |
crudeoil_li01               344    48   751 max  5.175851e+03  5.122565e+03  |normal      5.252000e+03      --            --      --     --    0.64      158  |normal      5.252000e+03      --            --      --     --    0.21      158  |normal      5.252000e+03      --            --      --     --    0.21      158  |normal      5.252000e+03      --            --      --     --    0.49      158  |
crudeoil_li02              1297   240  5058 max  1.023769e+08  1.015674e+08  |normal      1.027100e+08      --            --      --     --   16.40    13069  |normal      1.027100e+08      --            --      --     --    8.65     8707  |normal      1.027100e+08      --            --      --     --    8.67     8707  |normal      1.027100e+08      --            --      --     --   13.34    13069  |
crudeoil_li03               964   132  2634 max  3.543738e+03  3.483817e+03  |normal      3.554222e+03      --            --      --     --   37.73    17490  |normal      3.554222e+03      --            --      --     --   12.90    14786  |normal      3.554222e+03      --            --      --     --   12.81    14786  |normal      3.554222e+03      --            --      --     --   35.65    16507  |
crudeoil_li05               940   132  2108 max  3.354220e+03  3.129841e+03  |normal      3.487192e+03      --  3.026120e+03      --  15.24   18.63     7162  |normal      3.487192e+03      --            --      --     --    3.78     7004  |normal      3.487192e+03      --            --      --     --    3.79     7004  |normal      3.487192e+03      --  3.026120e+03      --  15.24   17.37     7162  |
crudeoil_li06               964   132  2628 max  3.355007e+03  3.355000e+03  |normal      3.355000e+03      --  3.077014e+03      --   9.03   58.80    25053  |normal      3.355000e+03      --            --      --     --    4.08     3963  |normal      3.355000e+03      --            --      --     --    4.06     3963  |normal      3.355000e+03      --  3.077014e+03      --   9.03   57.77    25053  |
crudeoil_li11              1177   180  3697 max  4.735590e+03  4.686793e+03  |normal      4.731615e+03      --  4.635022e+03      --   2.08  155.01    69618  |normal      4.731615e+03      --            --      --     --   35.48    26637  |normal      4.731615e+03      --            --      --     --   35.61    26637  |normal      4.731615e+03      --  4.609191e+03      --   2.66  251.00   145098  |
crudeoil_li21              1348   216  4873 max  4.875846e+03  4.799576e+03  |normal      4.903292e+03      --  4.768525e+03      --   2.83  354.93   166252  |normal      4.903292e+03      --            --      --     --  101.30    56335  |normal      4.903292e+03      --            --      --     --  101.53    56335  |normal      4.903292e+03      --  4.768525e+03      --   2.83  347.18   164250  |
crudeoil_pooling_ct2        403   108   802 max  1.025536e+04  1.024622e+04  |normal      1.061600e+04      --  1.020906e+04      --   3.99    2.90      682  |normal      1.061600e+04      --  1.020906e+04      --   3.99    1.14      592  |normal      1.061600e+04      --  1.020906e+04      --   3.99    1.15      592  |normal      1.061600e+04      --  1.020906e+04      --   3.99    2.60      682  |
crudeoil_pooling_ct4        533   138  1019 max  1.364630e+04  1.325826e+04  |normal      1.417268e+04      --  1.323810e+04      --   7.06    4.34     1058  |normal      1.417268e+04      --  1.323810e+04      --   7.06    1.87     1058  |normal      1.417268e+04      --  1.323810e+04      --   7.06    1.86     1058  |normal      1.417268e+04      --  1.323810e+04      --   7.06    3.82     1058  |
crudeoil_pooling_dt1       3712   916  6348 min  2.095643e+05  2.095853e+05  |normal      2.095853e+05      --  2.131987e+05      --   1.72  144.73    47842  |normal      2.096305e+05      --  2.096305e+05      --   0.00  106.76    43584  |normal      2.096305e+05      --  2.096305e+05      --   0.00  106.78    43584  |normal      2.096305e+05      --  2.096305e+05      --   0.00  123.52    45880  |
crudeoil_pooling_dt4       5062  1326  8819 max  1.433232e+04  1.325765e+04  |timelim     1.434150e+04      --  1.323045e+04      --   8.40  903.15   173615  |timelim     1.434150e+04      --  1.323835e+04      --   8.33  903.77   167794  |timelim     1.434150e+04      --  1.323835e+04      --   8.33  902.78   167012  |timelim     1.434150e+04      --  1.323835e+04      --   8.33  903.85   166817  |
csched1                      77    63    24 min -3.063926e+04 -3.063926e+04  |normal     -3.215921e+08   Large -2.927917e+04    4.65  Large    0.19        0  |normal     -3.215921e+08   Large            --     inf     --    0.08        0  |normal     -3.215921e+08   Large            --     inf     --    0.07        0  |normal     -3.215921e+08   Large -2.927917e+04    4.65  Large    0.12        0  |
csched1a                     28    15    22 min -3.043018e+04 -3.043018e+04  |normal     -2.924542e+04   -4.05 -2.924542e+04    4.05   0.00    0.06        0 !|normal     -2.924542e+04   -4.05 -2.924542e+04    4.05   0.00    0.04        0 !|normal     -2.924542e+04   -4.05 -2.924542e+04    4.05   0.00    0.04        0 !|normal     -2.924542e+04   -4.05 -2.924542e+04    4.05   0.00    0.04        0 !|
edgecross10-010              91    90   481 min  1.000000e+00  1.000000e+00  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00    0.10        0  |iterlim     0.000000e+00     inf  1.200000e+01   Large    inf    0.07        0  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00    0.06        0  |normal      0.000000e+00     inf  4.000000e+00  300.00    inf    0.27        0  |
edgecross10-020              91    90   481 min  1.100000e+01  1.100000e+01  |normal      1.100000e+01    0.00  1.100000e+01    0.00   0.00    0.14        0  |iterlim     0.000000e+00     inf  8.200000e+01  645.45    inf    0.08        0  |normal      1.100000e+01    0.00  1.100000e+01    0.00   0.00    0.10        0  |normal      0.000000e+00     inf  4.400000e+01  300.00    inf    0.37        0  |
edgecross10-030              91    90   481 min  5.200000e+01  5.200000e+01  |normal      5.200000e+01    0.00  5.200000e+01    0.00   0.00    0.21        0  |iterlim     0.000000e+00     inf  1.660000e+02  219.23    inf    0.10        0  |normal      5.200000e+01    0.00  5.200000e+01    0.00   0.00    0.14        0  |normal      0.000000e+00     inf  5.800000e+01   11.54    inf    0.37        0  |
edgecross10-040              91    90   481 min  1.420000e+02  1.420000e+02  |normal      1.420000e+02    0.00  1.420000e+02    0.00   0.00    0.71        0  |iterlim     0.000000e+00     inf  3.360000e+02  136.62    inf    0.14        0  |normal      1.420000e+02    0.00  1.420000e+02    0.00   0.00    0.63        0  |normal      0.000000e+00     inf  1.870000e+02   31.69    inf    0.42        0  |
edgecross10-050              91    90   481 min  2.760000e+02  2.760000e+02  |normal      2.760000e+02    0.00  2.760000e+02    0.00   0.00    2.70        0  |iterlim     0.000000e+00     inf  5.080000e+02   84.06    inf    0.23        0  |normal      2.760000e+02    0.00  2.760000e+02    0.00   0.00    2.58        0  |normal      0.000000e+00     inf  3.610000e+02   30.80    inf    0.61        0  |
edgecross10-060              91    44   481 min  4.590000e+02  4.590000e+02  |normal      0.000000e+00     inf  4.620000e+02    0.65    inf    5.15        0  |normal      0.000000e+00     inf  5.240000e+02   14.16    inf    0.32        0  |normal      0.000000e+00     inf  5.240000e+02   14.16    inf    0.33        0  |normal      0.000000e+00     inf  4.620000e+02    0.65    inf    0.49        0  |
