                       Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
cvxnonsep_pcon30             1.0                       15.0                2.0              61.0                       30.0               31.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon40             1.0                       20.0                2.0              81.0                       40.0               41.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_psig20             1.0                       10.0                1.0              21.0                       20.0               21.0      9.381139e+01    9.381139e+01  False           
cvxnonsep_psig30             1.0                       15.0                1.0              31.0                       30.0               31.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig40             1.0                       20.0                1.0              41.0                       40.0               41.0      8.549577e+01    8.549577e+01  False           
du-opt5                      1.0                       12.0               10.0              47.0                       20.0               21.0      8.073658e+00    8.073658e+00  False           
du-opt                       1.0                       13.0               10.0              47.0                       20.0               21.0      3.556340e+00    3.556340e+00  False           
enpro48pb                    1.0                       92.0              215.0             742.0                       29.0              154.0      1.872773e+05    1.872773e+05  False           
enpro56pb                    1.0                       73.0              192.0             651.0                       24.0              128.0      2.634283e+05    2.634283e+05  False           
ex1223a                      1.0                        4.0               10.0              32.0                        9.0                8.0      4.579582e+00    4.579582e+00  False           
ex1223b                      1.0                        4.0               10.0              32.0                       17.0                8.0      4.579582e+00    4.579582e+00  False           
ex4                          1.0                       25.0               31.0             237.0                      127.0               37.0     -8.064136e+00   -8.064136e+00  False           
flay04m                      1.0                       24.0               43.0             155.0                        4.0               43.0      5.440588e+01    5.440588e+01  False           
flay05m                      1.0                       40.0               66.0             243.0                        5.0               63.0      6.449806e+01    6.449806e+01  False           
flay06m                      1.0                       60.0               94.0             351.0                        6.0               87.0      6.693280e+01    6.693263e+01  False           
gams01                       1.0                      110.0             1269.0           24395.0                      330.0              146.0      2.138020e+04    2.138020e+04  False           
gbd                          1.0                        3.0                5.0              17.0                        1.0                5.0      2.200000e+00    2.200000e+00  False           
meanvarxsc                   1.0                       26.0               31.0              83.0                        7.0               36.0      1.436923e+01    1.436923e+01  False           
nvs03                        1.0                        2.0                3.0               7.0                        3.0                3.0      1.600000e+01    1.600000e+01  False           
nvs10                        1.0                        2.0                3.0               7.0                        6.0                3.0     -3.108000e+02   -3.108000e+02  False           
nvs11                        1.0                        3.0                4.0              13.0                       12.0                4.0     -4.310000e+02   -4.310000e+02  False           
nvs12                        1.0                        4.0                5.0              21.0                       20.0                5.0     -4.812000e+02   -4.812000e+02  False           
nvs15                        1.0                        3.0                2.0               7.0                        3.0                4.0      1.000000e+00    1.000000e+00  False           
slay04m                      1.0                       24.0               55.0             189.0                        8.0               45.0      9.859660e+03    9.859660e+03  False           
slay05m                      1.0                       40.0               91.0             311.0                       10.0               71.0      2.266468e+04    2.266468e+04  False           
slay06m                      1.0                       60.0              136.0             463.0                       12.0              103.0      3.275702e+04    3.275702e+04  False           
slay07m                      1.0                       84.0              190.0             645.0                       14.0              141.0      6.474883e+04    6.474883e+04  False           
slay08m                      1.0                      112.0              253.0             857.0                       16.0              185.0      8.496021e+04    8.496021e+04  False           
slay09m                      1.0                      144.0              325.0            1099.0                       18.0              235.0      1.078058e+05    1.078058e+05  False           
slay10m                      1.0                      180.0              406.0            1371.0                       20.0              291.0      1.295799e+05    1.295799e+05  False           
smallinvDAXr1b010-011        1.0                       30.0                4.0             121.0                       30.0               31.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr1b020-022        1.0                       30.0                4.0             121.0                       30.0               31.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr1b050-055        1.0                       30.0                4.0             121.0                       30.0               31.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr1b100-110        1.0                       30.0                4.0             121.0                       30.0               31.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr1b150-165        1.0                       30.0                4.0             121.0                       30.0               31.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr1b200-220        1.0                       30.0                4.0             121.0                       30.0               31.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr2b010-011        1.0                       30.0                4.0             121.0                       30.0               31.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr2b020-022        1.0                       30.0                4.0             121.0                       30.0               31.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr2b050-055        1.0                       30.0                4.0             121.0                       30.0               31.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr2b100-110        1.0                       30.0                4.0             121.0                       30.0               31.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr2b150-165        1.0                       30.0                4.0             121.0                       30.0               31.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr2b200-220        1.0                       30.0                4.0             121.0                       30.0               31.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr3b010-011        1.0                       30.0                4.0             121.0                       30.0               31.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr3b020-022        1.0                       30.0                4.0             121.0                       30.0               31.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr3b050-055        1.0                       30.0                4.0             121.0                       30.0               31.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr3b100-110        1.0                       30.0                4.0             121.0                       30.0               31.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr3b150-165        1.0                       30.0                4.0             121.0                       30.0               31.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr3b200-220        1.0                       30.0                4.0             121.0                       30.0               31.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr4b010-011        1.0                       30.0                4.0             121.0                       30.0               31.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr4b020-022        1.0                       30.0                4.0             121.0                       30.0               31.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr4b050-055        1.0                       30.0                4.0             121.0                       30.0               31.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr4b100-110        1.0                       30.0                4.0             121.0                       30.0               31.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr4b150-165        1.0                       30.0                4.0             121.0                       30.0               31.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr4b200-220        1.0                       30.0                4.0             121.0                       30.0               31.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr5b010-011        1.0                       30.0                4.0             121.0                       30.0               31.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr5b020-022        1.0                       30.0                4.0             121.0                       30.0               31.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr5b050-055        1.0                       30.0                4.0             121.0                       30.0               31.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr5b100-110        1.0                       30.0                4.0             121.0                       30.0               31.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr5b150-165        1.0                       30.0                4.0             121.0                       30.0               31.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr5b200-220        1.0                       30.0                4.0             121.0                       30.0               31.0      1.566043e+02    1.566043e+02  False           
smallinvSNPr1b010-011        1.0                      100.0                4.0             401.0                      100.0              101.0      6.652821e-02    6.652821e-02  False           
smallinvSNPr1b020-022        1.0                      100.0                4.0             401.0                      100.0              101.0      2.494273e-01    2.494273e-01  False           
smallinvSNPr1b050-055        1.0                      100.0                4.0             401.0                      100.0              101.0      1.476550e+00    1.476550e+00  False           
smallinvSNPr1b100-110        1.0                      100.0                4.0             401.0                      100.0              101.0      5.813078e+00    5.813078e+00  False           
smallinvSNPr1b150-165        1.0                      100.0                4.0             401.0                      100.0              101.0      1.299120e+01    1.299120e+01  False           
smallinvSNPr1b200-220        1.0                      100.0                4.0             401.0                      100.0              101.0      2.309925e+01    2.309925e+01  False           
smallinvSNPr2b010-011        1.0                      100.0                4.0             401.0                      100.0              101.0      6.652821e-02    6.652821e-02  False           
smallinvSNPr2b020-022        1.0                      100.0                4.0             401.0                      100.0              101.0      2.611268e-01    2.611268e-01  False           
smallinvSNPr2b050-055        1.0                      100.0                4.0             401.0                      100.0              101.0      1.502224e+00    1.502224e+00  False           
smallinvSNPr2b100-110        1.0                      100.0                4.0             401.0                      100.0              101.0      5.977725e+00    5.977725e+00  False           
smallinvSNPr2b150-165        1.0                      100.0                4.0             401.0                      100.0              101.0      1.336053e+01    1.336053e+01  False           
smallinvSNPr2b200-220        1.0                      100.0                4.0             401.0                      100.0              101.0      2.375247e+01    2.375247e+01  False           
smallinvSNPr3b010-011        1.0                      100.0                4.0             401.0                      100.0              101.0      8.406839e-02    8.406839e-02  False           
smallinvSNPr3b020-022        1.0                      100.0                4.0             401.0                      100.0              101.0      2.632341e-01    2.632341e-01  False           
smallinvSNPr3b050-055        1.0                      100.0                4.0             401.0                      100.0              101.0      1.589586e+00    1.589586e+00  False           
smallinvSNPr3b100-110        1.0                      100.0                4.0             401.0                      100.0              101.0      6.199948e+00    6.199948e+00  False           
smallinvSNPr3b150-165        1.0                      100.0                4.0             401.0                      100.0              101.0      1.379647e+01    1.379647e+01  False           
smallinvSNPr3b200-220        1.0                      100.0                4.0             401.0                      100.0              101.0      2.447760e+01    2.447760e+01  False           
smallinvSNPr4b010-011        1.0                      100.0                4.0             401.0                      100.0              101.0      1.111023e-01    1.111023e-01  False           
smallinvSNPr4b020-022        1.0                      100.0                4.0             401.0                      100.0              101.0      2.823518e-01    2.823518e-01  False           
smallinvSNPr4b050-055        1.0                      100.0                4.0             401.0                      100.0              101.0      1.641198e+00    1.641198e+00  False           
smallinvSNPr4b100-110        1.0                      100.0                4.0             401.0                      100.0              101.0      6.367161e+00    6.367161e+00  False           
smallinvSNPr4b150-165        1.0                      100.0                4.0             401.0                      100.0              101.0      1.429523e+01    1.429523e+01  False           
smallinvSNPr4b200-220        1.0                      100.0                4.0             401.0                      100.0              101.0      2.526890e+01    2.526890e+01  False           
smallinvSNPr5b010-011        1.0                      100.0                4.0             401.0                      100.0              101.0      1.111023e-01    1.111023e-01  False           
smallinvSNPr5b020-022        1.0                      100.0                4.0             401.0                      100.0              101.0      3.080045e-01    3.080045e-01  False           
smallinvSNPr5b050-055        1.0                      100.0                4.0             401.0                      100.0              101.0      1.672566e+00    1.672566e+00  False           
smallinvSNPr5b100-110        1.0                      100.0                4.0             401.0                      100.0              101.0      6.636899e+00    6.636899e+00  False           
smallinvSNPr5b150-165        1.0                      100.0                4.0             401.0                      100.0              101.0      1.488039e+01    1.488039e+01  False           
smallinvSNPr5b200-220        1.0                      100.0                4.0             401.0                      100.0              101.0      2.626521e+01    2.626521e+01  False           
sssd08-04                    1.0                       44.0               41.0             185.0                       12.0               61.0      1.820226e+05    1.820226e+05  False           
sssd12-05                    1.0                       75.0               53.0             291.0                       15.0               96.0      2.814086e+05    2.814086e+05  False           
sssd15-04                    1.0                       72.0               48.0             269.0                       12.0               89.0      2.050545e+05    2.050545e+05  False           
sssd15-06                    1.0                      108.0               64.0             403.0                       18.0              133.0      5.396355e+05    5.396355e+05  False           
sssd15-08                    1.0                      144.0               80.0             537.0                       24.0              177.0      5.626179e+05    5.626179e+05  False           
sssd16-07                    1.0                      133.0               73.0             491.0                       21.0              162.0      4.171888e+05    4.171888e+05  False           
sssd18-06                    1.0                      126.0               67.0             457.0                       18.0              151.0      3.979923e+05    3.979923e+05  False           
sssd18-08                    1.0                      168.0               83.0             609.0                       24.0              201.0      8.327956e+05    8.327956e+05  False           
sssd20-04                    1.0                       92.0               53.0             329.0                       12.0              109.0      3.476914e+05    3.476914e+05  False           
sssd20-08                    1.0                      184.0               85.0             657.0                       24.0              217.0      4.696198e+05    4.696198e+05  False           
sssd22-08                    1.0                      200.0               87.0             705.0                       24.0              233.0      5.087137e+05    5.087137e+05  False           
sssd25-04                    1.0                      112.0               58.0             389.0                       12.0              129.0      3.001766e+05    3.001766e+05  False           
sssd25-08                    1.0                      224.0               90.0             777.0                       24.0              257.0      4.720931e+05    4.720931e+05  False           
st_miqp1                     1.0                        5.0                2.0              11.0                        5.0                6.0      2.810000e+02    2.810000e+02  False           
st_miqp2                     1.0                        4.0                4.0              11.0                        2.0                5.0      2.000000e+00    2.000000e+00  False           
st_miqp3                     1.0                        2.0                2.0               5.0                        1.0                3.0     -6.000000e+00   -6.000000e+00  False           
st_miqp4                     1.0                        3.0                5.0              16.0                        3.0                7.0     -4.574000e+03   -4.574000e+03  False           
st_test1                     1.0                        5.0                2.0              11.0                        4.0                6.0      0.000000e+00    0.000000e+00  False           
st_test2                     1.0                        6.0                3.0              15.0                        5.0                7.0     -9.250000e+00   -9.250000e+00  False           
st_test3                     1.0                       13.0               11.0              42.0                        5.0               14.0     -7.000000e+00   -7.000000e+00  False           
st_test4                     1.0                        6.0                6.0              37.0                        2.0                7.0     -7.000000e+00   -7.000000e+00  False           
st_test5                     1.0                       10.0               12.0             112.0                        7.0               11.0     -1.100000e+02   -1.100000e+02  False           
st_test6                     1.0                       10.0                6.0              57.0                       10.0               11.0      4.710000e+02    4.710000e+02  False           
st_test8                     1.0                       24.0               21.0             121.0                       24.0               25.0     -2.960500e+04   -2.960500e+04  False           
st_testgr1                   1.0                       10.0                6.0              52.0                       10.0               11.0     -1.281160e+01   -1.281160e+01  False           
st_testgr3                   1.0                       20.0               21.0             182.0                       20.0               21.0     -2.059000e+01   -2.059000e+01  False           
st_testph4                   1.0                        3.0               11.0              28.0                        3.0                4.0     -8.050000e+01   -8.050000e+01  False           
stockcycle                   1.0                      432.0               98.0            1009.0                       48.0              481.0      1.199487e+05    1.199490e+05  False           
synthes1                     1.0                        3.0                7.0              23.0                        6.0                7.0      6.009759e+00    6.009759e+00  False           
tls12                        1.0                      668.0              385.0            7205.0                      288.0              813.0      1.128000e+02    2.058389e+01  False           
tls2                         1.0                       33.0               25.0             210.0                        8.0               38.0      5.300000e+00    5.300000e+00  False           
tls4                         1.0                       89.0               65.0             614.0                       32.0              106.0      8.300000e+00    8.300000e+00  False           
tls5                         1.0                      136.0               91.0             956.0                       50.0              162.0      1.030000e+01    1.030000e+01  False           
tls6                         1.0                      179.0              121.0            1370.0                       72.0              216.0      1.530000e+01    1.530000e+01  False           
tls7                         1.0                      296.0              155.0            2258.0                       98.0              346.0      1.500000e+01    6.322530e+00  False           
unitcommit1                  1.0                      720.0             5330.0           12405.0                      240.0              961.0      5.781766e+05    5.781766e+05  False           


                                                              baron@0             dicopt.1@0                                        aecp.1@0             antigone@0                                           knitro@0     scip.1@0     shot.1@0                                         sbb.1@0                                        bhyb.2@0                                         boa.1@0                                         bbb.3@0                                     couenne.1@0                                  mtaurqgcpx.0@0                                 mtaurbnbcpx.0@0                                       Pajarito.0@0                                     juniper.0@0                                       lindo.1@0                                         AOA.0@0
major                 minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
alan                  JulianDate                              43203.7                43211.2                                         43207.6                  43204                                            43223.8        43207      43253.8                                           43240                                         43212.7                                         43208.3                                         43221.4                                         43209.2                                               0                                               0                                              43203                                           43203                                         43241.6                                             NaN
                      TerminationStatus                             0                      0                                               0                      0                                                  0            0            0                                               0                                               0                                               0                                               0                                               0                                               0                                               0                                                  0                                               0                                               0                                               0
                      PrimalBound                               2.925                  2.925                                           2.925                  2.925                                              2.925        2.925        2.925                                           2.925                                           2.925                                           2.925                                           2.925                                         2.92704                                           2.925                                           2.925                                              2.925                                           2.925                                           2.925                                           2.925
                      DualBound                               2.92208                  2.925                                         2.92443                2.92207                                              2.925      2.92208        2.925                                           2.925                                           2.925                                           2.925                                           2.925                                         2.92704                                           2.925                                           2.925                                              2.925                                           2.925                                           2.925                                           2.925
                      SolverTime                                 0.03                  0.159                                           0.154                  0.015                                              0.093        0.158    0.0385372                                           0.148                                           0.075                                           0.064                                           0.342                                            1.12                                        0.003848                                        0.004072                                          0.0430648                                         3.05848                                           0.036                                            0.01
                      NumberOfIterations                            0                     64                                              16                      4                                                  0          165            0                                              59                                              42                                               4                                              18                                             120                                               0                                               0                                                NaN                                             NaN                                              68                                               0
                      NumberOfDomainViolations                      0                      0                                               0                      0                                                  0            0            0                                               0                                               0                                               0                                               0                                               0                                               0                                               0                                                NaN                                             NaN                                             NaN                                               0
                      NumberOfNodes                                 5                    NaN                                             NaN                      0                                                  7            1            0                                               9                                               0                                               0                                               2                                               8                                               0                                               0                                                NaN                                             NaN                                               3                                             NaN
                      Fail                                      False                  False                                           False                  False                                              False        False        False                                           False                                           False                                           False                                           False                                           False                                           False                                           False                                              False                                           False                                           False                                           False
                      FailReason                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                      Gap                                       0.001                      0                                     0.000194592               0.001001                                                  0   0.00099997            0                                               0                                               0                                               0                                               0                                               0                                               0                                               0                                                  0                                               0                                               0                                               0
                      PrimalGap                                     0                      0                                               0                      0                                                  0  2.28111e-08            0                                               0                                               0                                               0                                               0                                     0.000698996                                               0                                               0                                       -1.30968e-09                                    -3.55778e-09                                    -1.53635e-08                                               0
                      DualGap                                   0.001                      0                                     0.000194592               0.001001                                                  0  0.000999948            0                                               0                                               0                                               0                                               0                                    -0.000698996                                               0                                               0                                        1.30968e-09                                     3.55778e-09                                     1.53635e-08                                               0
ball_mk2_10           JulianDate                              43203.7                43211.2                                         43207.6                  43204                                            43223.8        43207      43253.8                                           43240                                         43234.9                                         43234.8                                         43221.4                                         43209.2                                               0                                               0                                              43203                                           43203                                         43241.6                                             NaN
                      TerminationStatus                             0                      1                                               0                      0                                                  0            0            0                                               0                                               0                                               0                                               0                                               0                                               0                                               0                                                  0                                               0                                               0                                               0
                      PrimalBound                                   0                    inf                                               0                      0                                                  0            0            0                                               0                                               0                                               0                                               0                                               0                                               0                                               0                                                  0                                    -9.12154e-08                                               0                                               0
                      DualBound                                     0                     -5                                               0                 -0.001                                        7.93785e-11            0            0                                               0                                               0                                               0                                               0                                               0                                               0                                               0                                                  0                                    -9.12154e-08                                               0                                               0
                      SolverTime                                 0.02                900.022                                          65.022                  0.007                                              0.941        0.008      1.17869                                           2.435                                           9.939                                           69.91                                          39.953                                             0.2                                        0.352375                                        0.071606                                            63.9384                                          7.9174                                           0.617                                            1.14
