                            Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
clay0205hfsg                      1.0                       50.0              365.0               0.0                        0.0              260.0      8.092500e+03    8.092500e+03  False           
clay0205h                         1.0                       50.0              365.0               0.0                        0.0              260.0      8.092500e+03    8.092500e+03  False           
clay0205m                         1.0                       50.0              135.0               0.0                        0.0               80.0      8.092500e+03    8.092500e+03  False           
clay0303hfsg                      1.0                       21.0              150.0               0.0                        0.0               99.0      2.666911e+04    2.666911e+04  False           
clay0303h                         1.0                       21.0              150.0               0.0                        0.0               99.0      2.666913e+04    2.666913e+04  False           
clay0303m                         1.0                       21.0               66.0               0.0                        0.0               33.0      2.666911e+04    2.666911e+04  False           
clay0304hfsg                      1.0                       36.0              258.0               0.0                        0.0              176.0      4.026239e+04    4.026239e+04  False           
clay0304h                         1.0                       36.0              258.0               0.0                        0.0              176.0      4.026242e+04    4.026242e+04  False           
clay0304m                         1.0                       36.0              106.0               0.0                        0.0               56.0      4.026239e+04    4.026239e+04  False           
clay0305hfsg                      1.0                       55.0              395.0               0.0                        0.0              275.0      8.092500e+03    8.092500e+03  False           
clay0305h                         1.0                       55.0              395.0               0.0                        0.0              275.0      8.092500e+03    8.092500e+03  False           
clay0305m                         1.0                       55.0              155.0               0.0                        0.0               85.0      8.092500e+03    8.092500e+03  False           
color_lab2_4x0                    1.0                      300.0               61.0               0.0                        0.0              300.0      4.307500e+01   -2.353678e+00  False           
color_lab6b_4x20                  1.0                      235.0               48.0               0.0                        0.0              235.0      6.325000e+00   -6.829526e+03  False           
cvxnonsep_normcon20r              1.0                       10.0               21.0               0.0                        0.0               40.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon20               1.0                       10.0                1.0               0.0                        0.0               20.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon30r              1.0                       15.0               31.0               0.0                        0.0               60.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon30               1.0                       15.0                1.0               0.0                        0.0               30.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon40r              1.0                       20.0               41.0               0.0                        0.0               80.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_normcon40               1.0                       20.0                1.0               0.0                        0.0               40.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_nsig20r                 1.0                       10.0               21.0               0.0                        0.0               40.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig20                  1.0                       10.0                1.0               0.0                        0.0               20.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig30r                 1.0                       15.0               31.0               0.0                        0.0               60.0      1.564267e+02    1.564267e+02  False           
cvxnonsep_nsig30                  1.0                       15.0                1.0               0.0                        0.0               30.0      1.306287e+02    1.306287e+02  False           
cvxnonsep_nsig40r                 1.0                       20.0               41.0               0.0                        0.0               80.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_nsig40                  1.0                       20.0                1.0               0.0                        0.0               40.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_pcon20r                 1.0                       10.0               20.0               0.0                        0.0               39.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon20                  1.0                       10.0                1.0               0.0                        0.0               20.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon30r                 1.0                       15.0               30.0               0.0                        0.0               59.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon30                  1.0                       15.0                1.0               0.0                        0.0               30.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon40r                 1.0                       20.0               40.0               0.0                        0.0               79.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_pcon40                  1.0                       20.0                1.0               0.0                        0.0               40.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_psig20r                 1.0                       10.0               22.0               0.0                        0.0               42.0      9.589739e+01    9.589739e+01  False           
cvxnonsep_psig20                  1.0                       10.0                0.0               0.0                        0.0               20.0      9.381139e+01    9.381139e+01  False           
cvxnonsep_psig30r                 1.0                       15.0               32.0               0.0                        0.0               62.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig30                  1.0                       15.0                0.0               0.0                        0.0               30.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig40r                 1.0                       20.0               42.0               0.0                        0.0               82.0      8.654510e+01    8.654510e+01  False           
cvxnonsep_psig40                  1.0                       20.0                0.0               0.0                        0.0               40.0      8.549577e+01    8.549577e+01  False           
du-opt5                           1.0                       13.0                9.0               0.0                        0.0               20.0      8.073658e+00    8.073658e+00  False           
du-opt                            1.0                       13.0                9.0               0.0                        0.0               20.0      3.556340e+00    3.556340e+00  False           
enpro48pb                         1.0                       92.0              214.0               0.0                        0.0              153.0      1.872773e+05    1.872773e+05  False           
enpro56pb                         1.0                       73.0              191.0               0.0                        0.0              127.0      2.634283e+05    2.634283e+05  False           
ex1223a                           1.0                        4.0                9.0               0.0                        0.0                7.0      4.579582e+00    4.579582e+00  False           
ex1223b                           1.0                        4.0                9.0               0.0                        0.0                7.0      4.579582e+00    4.579582e+00  False           
ex1223                            1.0                        4.0               13.0               0.0                        0.0               11.0      4.579582e+00    4.579582e+00  False           
ex4                               1.0                       25.0               30.0               0.0                        0.0               36.0     -8.064136e+00   -8.064136e+00  False           
fac1                              1.0                        6.0               18.0               0.0                        0.0               22.0      1.609126e+08    1.609126e+08  False           
fac2                              1.0                       12.0               33.0               0.0                        0.0               66.0      3.318375e+08    3.318375e+08  False           
fac3                              1.0                       12.0               33.0               0.0                        0.0               66.0      3.198231e+07    3.198231e+07  False           
flay02h                           1.0                        4.0               51.0               0.0                        0.0               46.0      3.794733e+01    3.794733e+01  False           
flay02m                           1.0                        4.0               11.0               0.0                        0.0               14.0      3.794733e+01    3.794733e+01  False           
flay03h                           1.0                       12.0              144.0               0.0                        0.0              122.0      4.898979e+01    4.898979e+01  False           
flay03m                           1.0                       12.0               24.0               0.0                        0.0               26.0      4.898979e+01    4.898979e+01  False           
flay04h                           1.0                       24.0              282.0               0.0                        0.0              234.0      5.440588e+01    5.440588e+01  False           
flay04m                           1.0                       24.0               42.0               0.0                        0.0               42.0      5.440588e+01    5.440588e+01  False           
flay05h                           1.0                       40.0              465.0               0.0                        0.0              382.0      6.449806e+01    6.449806e+01  False           
flay05m                           1.0                       40.0               65.0               0.0                        0.0               62.0      6.449806e+01    6.449806e+01  False           
flay06h                           1.0                       60.0              693.0               0.0                        0.0              566.0      6.693280e+01    6.371172e+01  False           
flay06m                           1.0                       60.0               93.0               0.0                        0.0               86.0      6.693280e+01    6.517733e+01  False           
fo7_2                             1.0                       42.0              211.0               0.0                        0.0              114.0      1.774935e+01    1.774935e+01  False           
fo7_ar25_1                        1.0                       42.0              269.0               0.0                        0.0              112.0      2.309357e+01    2.309357e+01  False           
fo7_ar2_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      2.483985e+01    2.483985e+01  False           
fo7_ar3_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      2.251747e+01    2.251747e+01  False           
fo7_ar4_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      2.072983e+01    2.072983e+01  False           
fo7_ar5_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      1.774933e+01    1.774933e+01  False           
fo7                               1.0                       42.0              211.0               0.0                        0.0              114.0      2.072983e+01    2.072983e+01  False           
fo8_ar25_1                        1.0                       56.0              347.0               0.0                        0.0              144.0      2.804518e+01    2.804518e+01  False           
fo8_ar2_1                         1.0                       56.0              347.0               0.0                        0.0              144.0      3.034061e+01    3.034061e+01  False           
fo8_ar3_1                         1.0                       56.0              347.0               0.0                        0.0              144.0      2.391005e+01    2.391005e+01  False           
fo8_ar4_1                         1.0                       56.0              347.0               0.0                        0.0              144.0      2.238190e+01    2.238190e+01  False           
fo8_ar5_1                         1.0                       56.0              347.0               0.0                        0.0              144.0      2.238190e+01    2.238190e+01  False           
fo8                               1.0                       56.0              273.0               0.0                        0.0              146.0      2.238190e+01    2.238190e+01  False           
fo9_ar25_1                        1.0                       72.0              435.0               0.0                        0.0              180.0      3.218643e+01    3.218347e+01  False           
fo9_ar2_1                         1.0                       72.0              435.0               0.0                        0.0              180.0      3.262500e+01    3.262466e+01  False           
fo9_ar3_1                         1.0                       72.0              435.0               0.0                        0.0              180.0      2.481548e+01    2.481548e+01  False           
fo9_ar4_1                         1.0                       72.0              435.0               0.0                        0.0              180.0      2.346429e+01    2.346429e+01  False           
fo9_ar5_1                         1.0                       72.0              435.0               0.0                        0.0              180.0      2.346429e+01    2.346429e+01  False           
fo9                               1.0                       72.0              343.0               0.0                        0.0              182.0      2.346429e+01    2.346429e+01  False           
gams01                            1.0                      110.0             1268.0               0.0                        0.0              145.0      2.138020e+04    1.851874e+03  False           
gbd                               1.0                        3.0                4.0               0.0                        0.0                4.0      2.200000e+00    2.200000e+00  False           
hybriddynamic_fixed               1.0                       10.0               79.0               0.0                        0.0               71.0      1.473778e+00    1.473778e+00  False           
ibs2                              1.0                     1500.0             1821.0               0.0                        0.0             3010.0      4.452848e+00    4.449534e+00  False           
jit1                              1.0                        4.0               32.0               0.0                        0.0               25.0      1.739833e+05    1.739833e+05  False           
m3                                1.0                        6.0               43.0               0.0                        0.0               26.0      3.780000e+01    3.780000e+01  False           
m6                                1.0                       30.0              157.0               0.0                        0.0               86.0      8.225688e+01    8.225688e+01  False           
m7_ar25_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      1.435850e+02    1.435850e+02  False           
m7_ar2_1                          1.0                       42.0              269.0               0.0                        0.0              112.0      1.902350e+02    1.902350e+02  False           
m7_ar3_1                          1.0                       42.0              269.0               0.0                        0.0              112.0      1.435850e+02    1.435850e+02  False           
m7_ar4_1                          1.0                       42.0              269.0               0.0                        0.0              112.0      1.067569e+02    1.067569e+02  False           
m7_ar5_1                          1.0                       42.0              269.0               0.0                        0.0              112.0      1.064600e+02    1.064600e+02  False           
m7                                1.0                       42.0              211.0               0.0                        0.0              114.0      1.067569e+02    1.067569e+02  False           
meanvar-orl400_05_e_8             1.0                      400.0             1603.0               0.0                        0.0             1600.0      9.948265e+01    9.814712e+01  False           
meanvarxsc                        1.0                       14.0               30.0               0.0                        0.0               35.0      1.436923e+01             NaN  False           
meanvarx                          1.0                       14.0               44.0               0.0                        0.0               35.0      1.436923e+01    1.436923e+01  False           
netmod_dol1                       1.0                      462.0             3137.0               0.0                        0.0             1998.0     -5.600084e-01   -6.228883e-01  False           
netmod_dol2                       1.0                      462.0             3080.0               0.0                        0.0             1998.0     -5.600084e-01   -5.600084e-01  False           
netmod_kar1                       1.0                      136.0              666.0               0.0                        0.0              456.0     -4.197896e-01   -4.197896e-01  False           
netmod_kar2                       1.0                      136.0              666.0               0.0                        0.0              456.0     -4.197896e-01   -4.197896e-01  False           
no7_ar25_1                        1.0                       42.0              269.0               0.0                        0.0              112.0      1.078153e+02    1.078153e+02  False           
no7_ar2_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      1.078153e+02    1.078153e+02  False           
no7_ar3_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      1.078153e+02    1.078153e+02  False           
no7_ar4_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      9.851840e+01    9.851840e+01  False           
no7_ar5_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      9.062267e+01    9.062267e+01  False           
nvs03                             1.0                        2.0                2.0               0.0                        0.0                2.0      1.600000e+01    1.600000e+01  False           
nvs10                             1.0                        2.0                2.0               0.0                        0.0                2.0     -3.108000e+02   -3.108000e+02  False           
nvs11                             1.0                        3.0                3.0               0.0                        0.0                3.0     -4.310000e+02   -4.310000e+02  False           
nvs12                             1.0                        4.0                4.0               0.0                        0.0                4.0     -4.812000e+02   -4.812000e+02  False           
nvs15                             1.0                        3.0                1.0               0.0                        0.0                3.0      1.000000e+00    1.000000e+00  False           
o7_2                              1.0                       42.0              211.0               0.0                        0.0              114.0      1.169459e+02    1.169459e+02  False           
o7_ar25_1                         1.0                       42.0              269.0               0.0                        0.0              112.0      1.404120e+02    1.404120e+02  False           
o7_ar2_1                          1.0                       42.0              269.0               0.0                        0.0              112.0      1.404120e+02    1.404120e+02  False           
o7_ar3_1                          1.0                       42.0              269.0               0.0                        0.0              112.0      1.379318e+02    1.379311e+02  False           
o7_ar4_1                          1.0                       42.0              269.0               0.0                        0.0              112.0      1.316531e+02    1.316508e+02  False           
o7_ar5_1                          1.0                       42.0              269.0               0.0                        0.0              112.0      1.169458e+02    1.169458e+02  False           
o7                                1.0                       42.0              211.0               0.0                        0.0              114.0      1.316531e+02    1.316500e+02  False           
o8_ar4_1                          1.0                       56.0              347.0               0.0                        0.0              144.0      2.430707e+02    2.377622e+02  False           
o9_ar4_1                          1.0                       72.0              435.0               0.0                        0.0              180.0      2.361385e+02    2.361239e+02  False           
pedigree_ex1058                   1.0                      999.0              867.0               0.0                        0.0             1058.0     -2.194487e+04   -2.202381e+04  False           
pedigree_ex485_2                  1.0                      426.0              296.0               0.0                        0.0              485.0     -2.576682e+04   -2.576682e+04  False           
pedigree_ex485                    1.0                      426.0              296.0               0.0                        0.0              485.0     -2.193157e+04   -2.193157e+04  False           
pedigree_sim400                   1.0                      150.0              101.0               0.0                        0.0              400.0     -2.588210e+03   -2.641440e+03  False           
pedigree_sp_top4_250              1.0                      713.0              416.0               0.0                        0.0              845.0     -2.317619e+04   -2.317619e+04  False           
pedigree_sp_top4_300              1.0                      473.0              246.0               0.0                        0.0              605.0     -2.317619e+04   -2.317619e+04  False           
pedigree_sp_top4_350tr            1.0                      262.0              147.0               0.0                        0.0              269.0     -2.300331e+04   -2.300331e+04  False           
pedigree_sp_top5_200              1.0                     1258.0              873.0               0.0                        0.0             1390.0     -2.317619e+04   -2.326425e+04  False           
pedigree_sp_top5_250              1.0                      835.0              538.0               0.0                        0.0              967.0     -2.317619e+04   -2.323635e+04  False           
portfol_buyin                     1.0                        8.0               19.0               0.0                        0.0               17.0      2.942380e-02    2.942380e-02  False           
portfol_card                      1.0                        8.0               20.0               0.0                        0.0               17.0      3.221766e-02    3.221766e-02  False           
portfol_classical050_1            1.0                       50.0              103.0               0.0                        0.0              150.0     -9.476012e-02   -9.476067e-02  False           
portfol_classical200_2            1.0                      200.0              403.0               0.0                        0.0              600.0     -1.100882e-01   -1.189943e-01  False           
portfol_roundlot                  1.0                        8.0               11.0               0.0                        0.0               17.0      2.829063e-02    2.829022e-02  False           
procurement2mot                  -1.0                       60.0              761.0               0.0                        0.0              796.0      2.120707e+02    2.120707e+02  False           
ravempb                           1.0                       54.0              186.0               0.0                        0.0              112.0      2.695902e+05    2.695902e+05  False           
risk2bpb                          1.0                       14.0              580.0               0.0                        0.0              463.0     -5.587614e+01   -5.587614e+01  False           
rsyn0805hfsg                     -1.0                       37.0              429.0               0.0                        0.0              308.0      1.296121e+03    1.296121e+03  False           
rsyn0805h                        -1.0                       37.0              429.0               0.0                        0.0              308.0      1.296121e+03    1.296121e+03  False           
rsyn0805m02hfsg                  -1.0                      148.0             1045.0               0.0                        0.0              700.0      2.238395e+03    2.238395e+03  False           
rsyn0805m02h                     -1.0                      148.0             1045.0               0.0                        0.0              700.0      2.238397e+03    2.238397e+03  False           
rsyn0805m02m                     -1.0                      148.0              769.0               0.0                        0.0              360.0      2.238395e+03    2.238395e+03  False           
rsyn0805m03hfsg                  -1.0                      222.0             1698.0               0.0                        0.0             1050.0      3.068931e+03    3.069083e+03  False           
rsyn0805m03h                     -1.0                      222.0             1698.0               0.0                        0.0             1050.0      3.068933e+03    3.068933e+03  False           
rsyn0805m03m                     -1.0                      222.0             1284.0               0.0                        0.0              540.0      3.068931e+03    3.068931e+03  False           
rsyn0805m04hfsg                  -1.0                      296.0             2438.0               0.0                        0.0             1400.0      7.174219e+03    7.174512e+03  False           
rsyn0805m04h                     -1.0                      296.0             2438.0               0.0                        0.0             1400.0      7.174222e+03    7.174222e+03  False           
rsyn0805m04m                     -1.0                      296.0             1886.0               0.0                        0.0              720.0      7.174219e+03    7.174219e+03  False           
rsyn0805m                        -1.0                       69.0              286.0               0.0                        0.0              170.0      1.296121e+03    1.296121e+03  False           
rsyn0810hfsg                     -1.0                       42.0              483.0               0.0                        0.0              343.0      1.721448e+03    1.721448e+03  False           
rsyn0810h                        -1.0                       42.0              483.0               0.0                        0.0              343.0      1.721448e+03    1.721448e+03  False           
rsyn0810m02hfsg                  -1.0                      168.0             1188.0               0.0                        0.0              790.0      1.741387e+03    1.741487e+03  False           
rsyn0810m02h                     -1.0                      168.0             1188.0               0.0                        0.0              790.0      1.741388e+03    1.741388e+03  False           
rsyn0810m02m                     -1.0                      168.0              866.0               0.0                        0.0              410.0      1.741387e+03    1.741387e+03  False           
rsyn0810m03hfsg                  -1.0                      252.0             1935.0               0.0                        0.0             1185.0      2.722448e+03    2.722707e+03  False           
rsyn0810m03h                     -1.0                      252.0             1935.0               0.0                        0.0             1185.0      2.722449e+03    2.722449e+03  False           
rsyn0810m03m                     -1.0                      252.0             1452.0               0.0                        0.0              615.0      2.722448e+03    2.722448e+03  False           
rsyn0810m04hfsg                  -1.0                      336.0             2784.0               0.0                        0.0             1580.0      6.581934e+03    6.582552e+03  False           
rsyn0810m04h                     -1.0                      336.0             2784.0               0.0                        0.0             1580.0      6.581937e+03    6.581937e+03  False           
rsyn0810m04m                     -1.0                      336.0             2140.0               0.0                        0.0              820.0      6.581934e+03    6.581934e+03  False           
rsyn0810m                        -1.0                       74.0              312.0               0.0                        0.0              185.0      1.721448e+03    1.721448e+03  False           
rsyn0815hfsg                     -1.0                       47.0              552.0               0.0                        0.0              387.0      1.269926e+03    1.269938e+03  False           
rsyn0815h                        -1.0                       47.0              552.0               0.0                        0.0              387.0      1.269926e+03    1.269926e+03  False           
rsyn0815m02hfsg                  -1.0                      188.0             1361.0               0.0                        0.0              898.0      1.774397e+03    1.774397e+03  False           
rsyn0815m02h                     -1.0                      188.0             1361.0               0.0                        0.0              898.0      1.774399e+03    1.774399e+03  False           
rsyn0815m02m                     -1.0                      188.0              981.0               0.0                        0.0              470.0      1.774397e+03    1.774397e+03  False           
rsyn0815m03hfsg                  -1.0                      282.0             2217.0               0.0                        0.0             1347.0      2.827926e+03    2.828209e+03  False           
rsyn0815m03h                     -1.0                      282.0             2217.0               0.0                        0.0             1347.0      2.827928e+03    2.827928e+03  False           
rsyn0815m03m                     -1.0                      282.0             1647.0               0.0                        0.0              705.0      2.827926e+03    2.827926e+03  False           
rsyn0815m04hfsg                  -1.0                      376.0             3190.0               0.0                        0.0             1796.0      3.410854e+03    3.410955e+03  False           
rsyn0815m04h                     -1.0                      376.0             3190.0               0.0                        0.0             1796.0      3.410856e+03    3.410856e+03  False           
rsyn0815m04m                     -1.0                      376.0             2430.0               0.0                        0.0              940.0      3.410854e+03    3.410854e+03  False           
rsyn0815m                        -1.0                       79.0              347.0               0.0                        0.0              205.0      1.269926e+03    1.269926e+03  False           
rsyn0820hfsg                     -1.0                       52.0              604.0               0.0                        0.0              417.0      1.150301e+03    1.150406e+03  False           
rsyn0820h                        -1.0                       52.0              604.0               0.0                        0.0              417.0      1.150301e+03    1.150301e+03  False           
rsyn0820m02hfsg                  -1.0                      208.0             1500.0               0.0                        0.0              978.0      1.092091e+03    1.092149e+03  False           
rsyn0820m02h                     -1.0                      208.0             1500.0               0.0                        0.0              978.0      1.092092e+03    1.092092e+03  False           
rsyn0820m02m                     -1.0                      208.0             1074.0               0.0                        0.0              510.0      1.092091e+03    1.092091e+03  False           
rsyn0820m03hfsg                  -1.0                      312.0             2448.0               0.0                        0.0             1467.0      2.028812e+03    2.029015e+03  False           
rsyn0820m03h                     -1.0                      312.0             2448.0               0.0                        0.0             1467.0      2.028813e+03    2.028813e+03  False           
rsyn0820m03m                     -1.0                      312.0             1809.0               0.0                        0.0              765.0      2.028812e+03    2.028812e+03  False           
rsyn0820m04hfsg                  -1.0                      416.0             3528.0               0.0                        0.0             1956.0      2.450772e+03    2.450908e+03  False           
rsyn0820m04h                     -1.0                      416.0             3528.0               0.0                        0.0             1956.0      2.450773e+03    2.450773e+03  False           
rsyn0820m04m                     -1.0                      416.0             2676.0               0.0                        0.0             1020.0      2.450772e+03    2.450772e+03  False           
rsyn0820m                        -1.0                       84.0              371.0               0.0                        0.0              215.0      1.150301e+03    1.150301e+03  False           
rsyn0830hfsg                     -1.0                       62.0              716.0               0.0                        0.0              494.0      5.100720e+02    5.100732e+02  False           
rsyn0830h                        -1.0                       62.0              716.0               0.0                        0.0              494.0      5.100721e+02    5.100721e+02  False           
rsyn0830m02hfsg                  -1.0                      248.0             1794.0               0.0                        0.0             1172.0      7.305072e+02    7.305585e+02  False           
rsyn0830m02h                     -1.0                      248.0             1794.0               0.0                        0.0             1172.0      7.305074e+02    7.305118e+02  False           
rsyn0830m02m                     -1.0                      248.0             1272.0               0.0                        0.0              620.0      7.305072e+02    7.305083e+02  False           
rsyn0830m03hfsg                  -1.0                      372.0             2934.0               0.0                        0.0             1758.0      1.543059e+03    1.543062e+03  False           
rsyn0830m03h                     -1.0                      372.0             2934.0               0.0                        0.0             1758.0      1.543060e+03    1.543060e+03  False           
rsyn0830m03m                     -1.0                      372.0             2151.0               0.0                        0.0              930.0      1.543059e+03    1.543059e+03  False           
rsyn0830m04hfsg                  -1.0                      496.0             4236.0               0.0                        0.0             2344.0      2.529073e+03    2.529326e+03  False           
rsyn0830m04h                     -1.0                      496.0             4236.0               0.0                        0.0             2344.0      2.529074e+03    2.529074e+03  False           
rsyn0830m04m                     -1.0                      496.0             3192.0               0.0                        0.0             1240.0      2.529073e+03    2.529073e+03  False           
rsyn0830m                        -1.0                       94.0              425.0               0.0                        0.0              250.0      5.100720e+02    5.100720e+02  False           
rsyn0840hfsg                     -1.0                       72.0              837.0               0.0                        0.0              568.0      3.255545e+02    3.255607e+02  False           
rsyn0840h                        -1.0                       72.0              837.0               0.0                        0.0              568.0      3.255546e+02    3.255546e+02  False           
rsyn0840m02hfsg                  -1.0                      288.0             2106.0               0.0                        0.0             1360.0      7.349835e+02    7.350548e+02  False           
rsyn0840m02h                     -1.0                      288.0             2106.0               0.0                        0.0             1360.0      7.349837e+02    7.349848e+02  False           
rsyn0840m02m                     -1.0                      288.0             1480.0               0.0                        0.0              720.0      7.349835e+02    7.349847e+02  False           
rsyn0840m03hfsg                  -1.0                      432.0             3447.0               0.0                        0.0             2040.0      2.742646e+03    2.742653e+03  False           
rsyn0840m03h                     -1.0                      432.0             3447.0               0.0                        0.0             2040.0      2.742646e+03    2.742742e+03  False           
rsyn0840m03m                     -1.0                      432.0             2508.0               0.0                        0.0             1080.0      2.742646e+03    2.742646e+03  False           
