                                   Instance                                    |                                  Scb2804m@1                                  |                                   boaos@1                                    |                                    scip@1                                    |
clay0204h                    164    32    234 min  6.545000e+03  6.545000e+03  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00  11.19     750  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00   8.27       0  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00   1.75     896  |
clay0204hfsg                 164    32    234 min  6.545000e+03  6.545000e+03  |normal      6.545000e+03   -0.00  6.545000e+03    0.00   0.00   6.53     111  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00   5.31       0  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00   3.15     684  |
clay0204m                     52    32     90 min  6.545000e+03  6.545000e+03  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00   8.12     407  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00   2.24       0  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00   1.29     459  |
clay0205h                    260    50    365 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  39.05    9380  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00 327.45       0  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  11.52    7350  |
clay0205hfsg                 260    50    365 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  22.55    3964  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00 357.74       0  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00  13.52    9667  |
clay0205m                     80    50    135 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  23.91    1862  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  72.72       0  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00   4.97    3041  |
clay0303h                     99    21    150 min  2.666913e+04  2.666913e+04  |normal      2.666913e+04    0.00  2.666913e+04   -0.00   0.00  11.42     522  |normal      2.666913e+04    0.00  2.666913e+04    0.00   0.00   4.07       0  |normal      2.666913e+04    0.00  2.666913e+04   -0.00   0.00   2.34     128  |
clay0303hfsg                  99    21    150 min  2.666911e+04  2.666911e+04  |normal      2.666911e+04   -0.00  2.666911e+04    0.00   0.00  11.61     295  |normal      2.666911e+04   -0.00  2.666911e+04    0.00   0.00   2.12       0  |normal      2.664688e+04    0.08  2.666911e+04    0.00   0.08   1.00      56  |
clay0303m                     33    21     66 min  2.666911e+04  2.666911e+04  |normal      2.960813e+03  800.74  2.666895e+04   -0.00 800.73   2.22     128  |normal      2.666911e+04    0.00  2.666911e+04   -0.00  -0.00   1.81       0  |normal      2.666911e+04   -0.00  2.666911e+04    0.00   0.00   0.62      31  |
clay0304h                    176    36    258 min  4.026242e+04  4.026242e+04  |normal      4.026242e+04   -0.00  4.026242e+04    0.00   0.00  44.33     641  |normal      4.026242e+04   -0.00  4.026242e+04    0.00   0.00 141.68       0  |normal      4.024330e+04    0.05  4.026242e+04   -0.00   0.05   2.23     498  |
clay0304hfsg                 176    36    258 min  4.026239e+04  4.026239e+04  |normal      5.892314e+04  -46.35  5.892314e+04   46.35   0.00   9.01     177 !|normal      4.026239e+04    0.00  4.026239e+04    0.00   0.00  82.73       0  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00   2.16     216  |
clay0304m                     56    36    106 min  4.026239e+04  4.026239e+04  |normal      3.946200e+04    2.03  4.026190e+04   -0.00   2.03  18.10     729  |normal      4.026239e+04    0.00  4.026239e+04   -0.00  -0.00  72.20       0  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00   1.34     266  |
clay0305h                    275    55    395 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  58.81    3107  |timelim     1.369108e+08  -Large           inf     inf    inf 906.62       0 !|normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00  11.05    6534  |
clay0305hfsg                 275    55    395 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  31.19    9076  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00 418.57       0  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00  17.79    5264  |
clay0305m                     85    55    155 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  37.52    2395  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00 298.70       0  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00   7.42    5130  |
color_lab2_4x0               300   300     61 min -2.353678e+00  4.307500e+01  |timelim     1.955909e+01      --  4.832500e+01      -- 147.07 900.46      37  |iterlim     3.254006e+01      --  5.597500e+01      --  72.02 899.81   10788  |timelim    -4.837348e+01      --  1.125750e+02      --    inf 901.13       1  |
color_lab6b_4x20             235   235     48 min -6.829526e+03  6.325000e+00  |timelim    -1.109128e+01      --  8.750000e+00      --    inf 900.15     299  |iterlim     1.478320e+13      --           inf      --    inf 899.89       0 !|timelim    -6.961490e+03      --  4.727500e+01      --    inf 900.03       1  |
cvxnonsep_normcon20           20    10      1 min -2.174915e+01 -2.174915e+01  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00   0.12       0  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00  86.55       0  |normal     -2.176952e+01    0.09 -2.174915e+01   -0.00   0.09   1.84     291  |
cvxnonsep_normcon20r          40    10     21 min -2.174915e+01 -2.174915e+01  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00   0.21       0  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00   0.09       0  |normal     -2.175017e+01    0.00 -2.174915e+01   -0.00   0.00   0.30      24  |
cvxnonsep_normcon30           30    15      1 min -3.424397e+01 -3.424397e+01  |normal     -3.424397e+01    0.00 -3.424397e+01   -0.00   0.00   0.16       0  |timelim     2.279063e+14     inf           inf     inf    inf 900.12       0 !|normal     -3.427794e+01    0.10 -3.424397e+01   -0.00   0.10  30.35    6571  |
cvxnonsep_normcon30r          60    15     31 min -3.424397e+01 -3.424397e+01  |normal     -3.424397e+01    0.00 -3.424397e+01   -0.00   0.00   0.19       0  |normal     -3.424397e+01    0.00 -3.424397e+01   -0.00   0.00   0.13       0  |normal     -3.424397e+01    0.00 -3.424397e+01   -0.00   0.00   0.38      53  |
cvxnonsep_normcon40           40    20      1 min -3.262967e+01 -3.262967e+01  |normal     -3.262967e+01   -0.00 -3.262967e+01    0.00   0.00   0.16       0  |timelim     1.571904e+12     inf           inf     inf    inf 900.03       0 !|timelim    -3.281779e+01    0.58 -3.262967e+01   -0.00   0.58 900.00   84604  |
cvxnonsep_normcon40r          80    20     41 min -3.262967e+01 -3.262967e+01  |normal     -3.262967e+01    0.00 -3.262967e+01    0.00   0.00   0.23       0  |normal     -3.262967e+01   -0.00 -3.262967e+01    0.00   0.00   0.04       0  |normal     -3.262970e+01    0.00 -3.262967e+01   -0.00   0.00   0.44      47  |
cvxnonsep_nsig20              20    10      1 min  8.094930e+01  8.094930e+01  |normal      8.094930e+01    0.00  8.094930e+01   -0.00   0.00   0.14       0  |normal      8.094930e+01    0.00  8.094930e+01   -0.00   0.00   6.46       0  |normal      8.094925e+01    0.00  8.094925e+01   -0.00   0.00  78.69   20463  |
cvxnonsep_nsig20r             40    10     21 min  8.094930e+01  8.094930e+01  |normal      8.094930e+01    0.00  8.094930e+01   -0.00   0.00   0.17       0  |normal      8.094930e+01    0.00  8.094930e+01   -0.00   0.00   0.06       0  |normal      8.094299e+01    0.01  8.098587e+01    0.05   0.05   0.12       2  |
cvxnonsep_nsig30              30    15      1 min  1.306287e+02  1.306287e+02  |normal      1.306513e+02   -0.02  1.306513e+02    0.02   0.00   0.15       0  |normal      1.306413e+02   -0.01  1.306413e+02    0.01   0.00 308.51       0  |timelim     1.245614e+02    4.87  1.307319e+02    0.08   4.95 900.00  116477  |
cvxnonsep_nsig30r             60    15     31 min  1.564267e+02  1.564267e+02  |normal      1.565903e+02   -0.10  1.565903e+02    0.10   0.00   0.22       0 !|normal      1.564900e+02   -0.04  1.564900e+02    0.04  -0.00   0.11       0  |normal      1.564098e+02    0.01  1.564598e+02    0.02   0.03   0.31      35  |
cvxnonsep_nsig40              40    20      1 min  1.339613e+02  1.339613e+02  |normal      1.339613e+02    0.00  1.339613e+02   -0.00   0.00   0.18       0  |timelim    -3.776724e+14     inf           inf     inf    inf 900.03       0  |timelim     9.589029e+01   39.70  1.400943e+02    4.58  46.10 900.00     213  |
cvxnonsep_nsig40r             80    20     41 min  1.339613e+02  1.339613e+02  |normal      1.340320e+02   -0.05  1.340320e+02    0.05   0.00   0.32       0  |normal      1.339613e+02    0.00  1.339613e+02   -0.00   0.00   0.15       0  |normal      1.339467e+02    0.01  1.340719e+02    0.08   0.09   0.33       6  |
cvxnonsep_pcon20              20    10      1 min -2.151230e+01 -2.151230e+01  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00   0.25       4  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00   1.67       0  |normal     -2.152058e+01    0.04 -2.151230e+01   -0.00   0.04   1.78     136  |
cvxnonsep_pcon20r             39    10     20 min -2.151230e+01 -2.151230e+01  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00   0.52      15  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00   0.07       0  |normal     -2.152455e+01    0.06 -2.151230e+01   -0.00   0.06   0.19      15  |
cvxnonsep_pcon30              30    15      1 min -3.598684e+01 -3.598684e+01  |normal     -3.598684e+01   -0.00 -3.598684e+01    0.00   0.00   0.47       6  |normal     -3.598684e+01   -0.00 -3.598684e+01    0.00   0.00  85.72       0  |normal     -3.602228e+01    0.10 -3.598684e+01    0.00   0.10   9.70     601  |
cvxnonsep_pcon30r             59    15     30 min -3.598684e+01 -3.598684e+01  |normal     -3.598684e+01    0.00 -3.598684e+01    0.00   0.00   1.54      31  |normal     -3.598684e+01    0.00 -3.598684e+01    0.00   0.00   0.20       0  |normal     -3.601793e+01    0.09 -3.598684e+01   -0.00   0.09   0.53      91  |
cvxnonsep_pcon40              40    20      1 min -4.659917e+01 -4.659917e+01  |normal     -4.658637e+01   -0.03 -4.658637e+01    0.03   0.00   0.51       0  |normal     -4.659917e+01    0.00 -4.659917e+01   -0.00   0.00 176.13       0  |normal     -4.664499e+01    0.10 -4.659917e+01   -0.00   0.10  33.36    2511  |
cvxnonsep_pcon40r             79    20     40 min -4.659917e+01 -4.659917e+01  |normal     -4.657695e+01   -0.05 -4.657695e+01    0.05   0.00   1.90      16  |normal     -4.659540e+01   -0.01 -4.659540e+01    0.01   0.00   0.12       0  |normal     -4.662342e+01    0.05 -4.657901e+01    0.04   0.10   0.77     153  |
cvxnonsep_psig20              20    10      0 min  9.381139e+01  9.381139e+01  |normal      9.383001e+01   -0.02  9.383001e+01    0.02   0.00   0.18       0  |normal      9.383389e+01   -0.02  9.383389e+01    0.02   0.00  14.08       0  |normal      9.371789e+01    0.10  9.381139e+01   -0.00   0.10   7.02     951  |
cvxnonsep_psig20r             42    10     22 min  9.589739e+01  9.589739e+01  |normal      9.589855e+01   -0.00  9.589855e+01    0.00   0.00   0.17       0  |normal      9.580643e+01    0.09  9.589739e+01    0.00   0.09   0.05       0  |normal      9.588996e+01    0.01  9.590544e+01    0.01   0.02   0.09       3  |
cvxnonsep_psig30              30    15      0 min  7.899885e+01  7.899885e+01  |normal      7.900848e+01   -0.01  7.900848e+01    0.01   0.00   0.15       0  |normal      7.899885e+01    0.00  7.899885e+01   -0.00   0.00 494.38       0  |timelim     7.792290e+01    1.38  7.899885e+01    0.00   1.38 900.00  128566  |
cvxnonsep_psig30r             62    15     32 min  7.899885e+01  7.899885e+01  |normal      7.899885e+01   -0.00  7.899885e+01    0.00   0.00   0.32       3  |normal      7.900238e+01   -0.00  7.900238e+01    0.00   0.00   0.06       0  |normal      7.898038e+01    0.02  7.899883e+01   -0.00   0.02   0.14       1  |
cvxnonsep_psig40              40    20      0 min  8.549577e+01  8.549577e+01  |normal      8.551800e+01   -0.03  8.551800e+01    0.03   0.00   0.22       0  |timelim    -1.486712e+15     inf           inf     inf    inf 900.01       0  |timelim     8.031365e+01    6.45  8.645832e+01    1.13   7.65 900.00   67786  |
cvxnonsep_psig40r             82    20     42 min  8.654510e+01  8.654510e+01  |iterlim     4.000047e+01  116.36  1.157694e+02   33.77 189.42   0.16       0  |normal      8.656554e+01   -0.02  8.656554e+01    0.02   0.00   0.51       0  |normal      8.646181e+01    0.10  8.654617e+01    0.00   0.10   0.35      52  |
du-opt                        20    13      9 min  3.556340e+00  3.556340e+00  |normal      3.557513e+00   -0.03  3.557513e+00    0.03   0.00  54.42    1067  |normal      3.556340e+00    0.00  3.556340e+00    0.00   0.00   5.70       0  |normal      3.553329e+00    0.08  3.556340e+00    0.00   0.08   2.62     831  |
du-opt5                       20    13      9 min  8.073658e+00  8.073658e+00  |normal      8.074330e+00   -0.01  8.074330e+00    0.01   0.00  24.58     514  |normal      8.073658e+00    0.00  8.073658e+00    0.00   0.00   2.81       0  |normal      8.073327e+00    0.00  8.073658e+00    0.00   0.00   0.81      17  |
enpro48pb                    153    92    214 min  1.872773e+05  1.872773e+05  |normal      1.872773e+05   -0.00  1.872773e+05    0.00   0.00   5.92      48  |normal      1.872773e+05    0.00  1.872773e+05    0.00   0.00   1.33       0  |normal      1.872719e+05    0.00  1.872773e+05    0.00   0.00   3.82      10  |
enpro56pb                    127    73    191 min  2.634283e+05  2.634283e+05  |iterlim     2.240048e+05   17.60  2.637032e+05    0.10  17.72   5.58     190  |normal      2.634283e+05    0.00  2.634283e+05   -0.00   0.00   1.61       0  |normal      2.634283e+05    0.00  2.634283e+05   -0.00   0.00   4.20      86  |
ex1223                        11     4     13 min  4.579582e+00  4.579582e+00  |normal      4.579582e+00    0.00  4.579582e+00   -0.00   0.00   0.08       0  |normal      4.579582e+00    0.00  4.579582e+00    0.00   0.00   0.04       0  |normal      4.579582e+00    0.00  4.579582e+00   -0.00   0.00   0.16       5  |
ex1223a                        7     4      9 min  4.579582e+00  4.579582e+00  |normal      4.579579e+00    0.00  4.579579e+00   -0.00   0.00   0.06       0  |normal      4.579582e+00    0.00  4.579582e+00    0.00   0.00   0.00       0  |normal      4.579582e+00    0.00  4.579582e+00    0.00   0.00   0.02       1  |
ex1223b                        7     4      9 min  4.579582e+00  4.579582e+00  |normal      4.579582e+00    0.00  4.579582e+00   -0.00   0.00   0.08       0  |normal      4.579582e+00    0.00  4.579582e+00    0.00   0.00   0.03       0  |normal      4.579582e+00    0.00  4.579582e+00   -0.00   0.00   0.17       5  |
ex4                           36    25     30 min -8.064136e+00 -8.064136e+00  |normal     -8.064136e+00    0.00 -8.064136e+00   -0.00   0.00   1.62     107  |normal     -8.064137e+00    0.00 -8.064136e+00   -0.00   0.00   0.42       0  |normal     -8.064136e+00    0.00 -8.064136e+00    0.00   0.00   2.13       9  |
fac1                          22     6     18 min  1.609126e+08  1.609126e+08  |normal      1.609126e+08    0.00  1.609126e+08   -0.00   0.00   0.13       0  |normal      1.609126e+08    0.00  1.609126e+08   -0.00   0.00   0.03       0  |normal              -inf     inf  1.609126e+08   -0.00    inf   0.06       0  |
fac2                          66    12     33 min  3.318375e+08  3.318375e+08  |normal      3.318375e+08    0.00  3.318375e+08   -0.00   0.00   0.19       0  |normal      3.318375e+08    0.00  3.318375e+08   -0.00   0.00   0.18       0  |normal      3.318375e+08    0.00  3.318375e+08   -0.00   0.00   0.52      15  |
fac3                          66    12     33 min  3.198231e+07  3.198231e+07  |normal      3.198231e+07    0.00  3.198231e+07   -0.00   0.00   1.13       2  |normal      3.198231e+07    0.00  3.198231e+07   -0.00   0.00   0.11       0  |normal      3.198231e+07    0.00  3.201283e+07    0.10   0.10   0.62       5  |
flay02h                       46     4     51 min  3.794733e+01  3.794733e+01  |normal      3.794733e+01    0.00  3.794733e+01   -0.00   0.00   0.21       2  |normal      3.794733e+01    0.00  3.794733e+01    0.00   0.00   0.07       0  |normal      3.794709e+01    0.00  3.794733e+01   -0.00   0.00   1.16       5  |
flay02m                       14     4     11 min  3.794733e+01  3.794733e+01  |normal      3.794733e+01    0.00  3.794733e+01   -0.00   0.00   0.19       0  |normal      3.794733e+01    0.00  3.794733e+01   -0.00   0.00   0.02       0  |normal      3.794665e+01    0.00  3.794733e+01   -0.00   0.00   0.48       7  |
flay03h                      122    12    144 min  4.898979e+01  4.898979e+01  |normal      4.898979e+01    0.00  4.898979e+01   -0.00   0.00   3.73     203  |normal      4.898979e+01    0.00  4.898979e+01    0.00   0.00   1.39       0  |normal      4.898979e+01    0.00  4.898979e+01   -0.00   0.00   1.22      97  |
flay03m                       26    12     24 min  4.898979e+01  4.898979e+01  |normal      4.898978e+01    0.00  4.898978e+01   -0.00   0.00   1.98     126  |normal      4.898979e+01    0.00  4.898979e+01   -0.00   0.00   0.38       0  |normal      4.898978e+01    0.00  4.898978e+01   -0.00   0.00   0.73     105  |
flay04h                      234    24    282 min  5.440588e+01  5.440588e+01  |normal      5.440588e+01    0.00  5.440588e+01   -0.00   0.00  14.72    6155  |normal      5.440588e+01    0.00  5.440588e+01   -0.00   0.00  65.79       0  |normal      5.440588e+01    0.00  5.440588e+01   -0.00   0.00   6.56    2178  |
flay04m                       42    24     42 min  5.440588e+01  5.440588e+01  |normal      5.440586e+01    0.00  5.440586e+01   -0.00   0.00   9.72    4562  |normal      5.440588e+01    0.00  5.440588e+01   -0.00   0.00   8.46       0  |normal      5.440585e+01    0.00  5.440585e+01   -0.00   0.00   3.05    1879  |
flay05h                      382    40    465 min  6.449806e+01  6.449806e+01  |normal      6.449805e+01    0.00  6.449805e+01   -0.00   0.00 143.24  138072  |timelim    -1.608174e+12     inf           inf     inf    inf 900.77       0  |normal      6.449806e+01    0.00  6.449806e+01   -0.00   0.00 266.14  104946  |
flay05m                       62    40     65 min  6.449806e+01  6.449806e+01  |normal      6.449785e+01    0.00  6.449785e+01   -0.00   0.00  65.95  146519  |timelim    -2.448193e+12     inf           inf     inf    inf 900.27       0  |normal      6.444352e+01    0.08  6.449804e+01   -0.00   0.08  76.60   66596  |
flay06h                      566    60    693 min  6.371172e+01  6.693280e+01  |timelim     6.084989e+01      --  6.693280e+01      --  10.00 900.04 1346177  |timelim    -9.798566e+11      --           inf      --    inf 903.12       0  |timelim     5.877540e+01      --  6.693279e+01      --  13.88 900.00  260698  |
flay06m                       86    60     93 min  6.517733e+01  6.693280e+01  |timelim     6.445068e+01      --  6.693262e+01      --   3.85 900.05 5971568  |timelim    -3.394293e+11      --           inf      --    inf 906.97       0  |timelim     6.063894e+01      --  6.693279e+01      --  10.38 900.00  694087  |
fo7                          114    42    211 min  2.072983e+01  2.072983e+01  |normal      2.072983e+01    0.00  2.072983e+01   -0.00   0.00 141.37  242887  |timelim    -1.589998e+11     inf           inf     inf    inf 903.00       0  |normal      2.072982e+01    0.00  2.072982e+01   -0.00   0.00  74.11   67912  |
fo7_2                        114    42    211 min  1.774935e+01  1.774935e+01  |normal      1.774935e+01    0.00  1.774935e+01   -0.00   0.00  27.95   41341  |timelim    -1.200000e-07     inf           inf     inf    inf 900.25       0  |normal      1.774934e+01    0.00  1.774934e+01   -0.00   0.00  45.71   33338  |
fo7_ar25_1                   112    42    269 min  2.309357e+01  2.309357e+01  |normal      2.309357e+01    0.00  2.309357e+01   -0.00   0.00  86.14  136535  |timelim    -1.148727e+11     inf           inf     inf    inf 903.63       0  |normal      2.309357e+01    0.00  2.309357e+01   -0.00   0.00  29.68   28843  |
fo7_ar2_1                    112    42    269 min  2.483985e+01  2.483985e+01  |normal      2.483985e+01    0.00  2.483985e+01   -0.00   0.00  61.75   65321  |timelim    -2.418251e+11     inf           inf     inf    inf 900.34       0  |normal      2.483985e+01    0.00  2.483985e+01   -0.00   0.00  40.29   38182  |
fo7_ar3_1                    112    42    269 min  2.251747e+01  2.251747e+01  |normal      2.251747e+01    0.00  2.251747e+01   -0.00   0.00  44.20   88742  |timelim    -2.374046e+11     inf           inf     inf    inf 903.54       0  |normal      2.251746e+01    0.00  2.251746e+01   -0.00   0.00  43.56   41863  |
fo7_ar4_1                    112    42    269 min  2.072983e+01  2.072983e+01  |normal      2.072983e+01    0.00  2.072983e+01   -0.00   0.00  63.84  102970  |timelim    -4.890579e+10     inf           inf     inf    inf 902.66       0  |normal      2.072982e+01    0.00  2.072982e+01   -0.00   0.00  37.23   33314  |
fo7_ar5_1                    112    42    269 min  1.774933e+01  1.774933e+01  |normal      1.774933e+01    0.00  1.774933e+01   -0.00   0.00  23.37   29779  |timelim    -1.699581e+11     inf           inf     inf    inf 903.44       0  |normal      1.774932e+01    0.00  1.774932e+01   -0.00   0.00  17.87   13824  |
fo8                          146    56    273 min  2.238190e+01  2.238190e+01  |normal      2.238190e+01    0.00  2.238190e+01   -0.00   0.00 161.95  287226  |timelim    -2.709742e+11     inf           inf     inf    inf 906.35       0  |normal      2.238190e+01    0.00  2.238190e+01   -0.00   0.00 143.52  108357  |
fo8_ar25_1                   144    56    347 min  2.804518e+01  2.804518e+01  |normal      2.804518e+01    0.00  2.804518e+01   -0.00   0.00 594.18  729952  |timelim    -1.445226e+11     inf           inf     inf    inf 902.80       0  |normal      2.804518e+01    0.00  2.804518e+01   -0.00   0.00 220.91  224743  |
fo8_ar2_1                    144    56    347 min  3.034061e+01  3.034061e+01  |normal      3.034061e+01    0.00  3.034061e+01   -0.00   0.00 470.77  681875  |timelim    -1.400000e-07     inf           inf     inf    inf 904.26       0  |normal      3.034060e+01    0.00  3.034060e+01   -0.00   0.00 314.91  315990  |
fo8_ar3_1                    144    56    347 min  2.391005e+01  2.391005e+01  |normal      2.391005e+01    0.00  2.391005e+01   -0.00   0.00 273.97  370401  |timelim    -1.630495e+11     inf           inf     inf    inf 903.63       0  |normal      2.391005e+01    0.00  2.391005e+01   -0.00   0.00  60.54   46775  |
