                           Scp2804s    aecp     aoa   baron  dicopt     sbb virt. worst
ball_mk2_10                   1.00=  -0.00=  -0.00=  -0.00=  -0.00=  -0.00=      -0.00=
fo7_ar5_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.28-       1.28-
fo8                           1.00=   1.00=   1.00=   1.00=   1.00=   1.69-       1.69-
fo8_ar25_1                    1.00=   1.00=   1.00=   1.00=   1.00=   1.54-       1.54-
fo8_ar2_1                     1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
fo8_ar3_1                     1.00=   1.00=   1.00=   1.00=   1.00=   2.16-       2.16-
fo8_ar4_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.92-       1.92-
fo8_ar5_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.63-       1.63-
fo9                           1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
fo9_ar25_1                    1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
fo9_ar2_1                     1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
fo9_ar3_1                     1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
fo9_ar4_1                     1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
fo9_ar5_1                     1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
gams01                        1.00=   1.33-   1.00=   1.03=   1.11=   1.21-       1.33-
ibs2                          1.00=   4.16-   5.43-    inf-   3.65-    inf-        inf-
m6                            1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
m7                            1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
m7_ar25_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
m7_ar2_1                      1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
m7_ar3_1                      1.00=   1.00=   1.00=   1.00=   1.00=   1.09=       1.09=
m7_ar4_1                      1.00=   1.00=   1.00=   1.00=   1.00=   1.16-       1.16-
m7_ar5_1                      1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
netmod_dol1                   1.00=   0.91=   1.00=   1.00=   0.98=   0.97=       0.91=
netmod_dol2                   1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
netmod_kar1                   1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
netmod_kar2                   1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
no7_ar25_1                    1.00=   1.00=   1.00=   1.00=   1.00=   1.35-       1.35-
no7_ar2_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.41-       1.41-
no7_ar3_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.37-       1.37-
no7_ar4_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.35-       1.35-
no7_ar5_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.52-       1.52-
o7                            1.00=   1.00=   1.00=   1.00=   1.00=   1.28-       1.28-
o7_2                          1.00=   1.00=   1.00=   1.00=   1.00=   1.12-       1.12-
o7_ar25_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.18-       1.18-
o7_ar2_1                      1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
o7_ar3_1                      1.00=   1.00=   1.00=   1.00=   1.00=   1.35-       1.35-
o7_ar4_1                      1.00=   1.00=   1.00=   1.00=   1.00=   1.22-       1.22-
o7_ar5_1                      1.00=   1.00=   1.00=   1.00=   1.00=   1.53-       1.53-
o8_ar4_1                      1.00=   1.06=   1.00=   1.00=   1.09=    inf-        inf-
o9_ar4_1                      1.00=   1.21-   1.00=   1.02=   1.06=    inf-        inf-
pedigree_ex1058               1.00=   0.84-   -inf-   0.85-   0.98=   -inf-       -inf-
pedigree_ex485                1.00=   0.84-   0.97=   1.00=   0.98=   -inf-       -inf-
pedigree_sim400               1.00=   0.91=   1.00=   0.99=   0.98=   0.99=       0.91=
pedigree_sp_top4_350tr        1.00=   0.58-   0.99=   1.00=   0.97=   1.00=       0.58-
pedigree_sp_top5_200          1.00=   0.46-   0.98=   1.00=   0.98=   0.98=       0.46-
pedigree_sp_top5_250          1.00=   0.47-   0.99=   1.00=   0.98=   0.98=       0.47-
portfol_classical050_1        1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
portfol_classical200_2        1.00=   0.55=   0.96=   0.99=   0.98=   0.99=       0.55=
portfol_roundlot              1.01=   1.00=   1.47=   1.00=   1.00=   1.00=       1.47=
procurement2mot               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0805m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0805m04m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.99=       0.99=
rsyn0810m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0810m02h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0810m03h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0810m03hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0810m03m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.83-       0.83-
rsyn0810m04h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0810m04m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.79-       0.79-
rsyn0815m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0815m03h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0815m03hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0815m03m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.65-       0.65-
rsyn0815m04h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0815m04hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0815m04m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.55-       0.55-
rsyn0820m02h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0820m02hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0820m02m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.59-       0.59-
rsyn0820m03h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0820m03hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0820m03m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.68-       0.68-
rsyn0820m04h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0820m04hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0820m04m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.51-       0.51-
rsyn0830m02h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0830m02m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.74-       0.74-
rsyn0830m03h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0830m03hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0830m03m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.85-       0.85-
rsyn0830m04h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0830m04hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0830m04m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.60-       0.60-
rsyn0840m02h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0840m03h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0840m03hfsg               1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0840m03m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.82-       0.82-
rsyn0840m04h                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
rsyn0840m04m                  1.00=   1.00=   1.00=   1.00=   1.00=   0.24-       0.24-
slay04h                       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
slay05h                       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
slay06m                       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
slay08h                       1.00=   1.00=   1.00=   1.00=   1.00=   1.01=       1.01=
slay08m                       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
slay09h                       1.00=   1.00=   1.00=   1.00=   1.00=   1.15-       1.15-
slay09m                       1.00=   1.01=   1.00=   1.00=   1.00=   1.00=       1.01=
slay10h                       1.00=   1.00=   1.00=   1.00=   1.00=   1.42-       1.42-
slay10m                       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr1b020-022         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr1b050-055         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr1b100-110         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr1b200-220         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr2b020-022         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr2b050-055         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr2b100-110         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr2b150-165         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr2b200-220         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr3b020-022         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr3b100-110         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr3b200-220         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr4b020-022         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr4b050-055         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr4b100-110         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr4b150-165         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr4b200-220         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr5b020-022         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr5b050-055         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr5b100-110         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
smallinvDAXr5b150-165         1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
squfl010-025                  1.00=   1.06=   1.00=   1.00=   1.00=   1.00=       1.06=
squfl010-040                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
squfl010-080                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
squfl015-060                  1.00=   1.02=   1.00=   1.00=   1.00=   1.00=       1.02=
squfl015-080                  1.00=   1.00=   1.00=   1.00=   1.09=   1.00=       1.09=
squfl020-040                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
squfl020-050                  1.00=   1.00=   1.00=   1.00=   1.07=   1.00=       1.07=
squfl025-025                  1.00=   1.00=   1.00=   1.00=   1.01=   1.00=       1.01=
squfl025-030                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
squfl025-040                  1.00=   1.06=   1.00=   1.00=   1.03=   1.00=       1.06=
squfl030-150                  1.00=   1.39-   1.05=   1.00=   1.27-   1.18-       1.39-
sssd08-04                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
stockcycle                    1.00=   1.01=   1.00=   1.00=   1.18-   1.00=       1.18-
syn10m04m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn15m04m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn20m02m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn20m04m                     1.00=   1.00=   1.00=   1.00=   1.00=   0.98=       0.98=
syn30m                        1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn30m03m                     1.00=   1.00=   1.00=   1.00=   1.00=   0.94=       0.94=
syn30m04h                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn30m04m                     1.00=   1.00=   1.00=   1.00=   1.00=   0.92=       0.92=
syn40m03h                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn40m03hfsg                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn40m03m                     1.00=   1.00=   1.00=   1.00=   1.00=   0.65-       0.65-
syn40m04h                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn40m04hfsg                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
syn40m04m                     1.00=   1.00=   1.00=   1.00=   1.00=   0.92=       0.92=
tls12                           NaN     NaN     NaN     NaN     NaN     NaN         NaN
unitcommit1                   1.00=   1.00=   1.00=   1.00=   1.00=   1.02=       1.02=
unitcommit_200_100_1_mod_8    1.00=   1.05=   1.00=   1.00=   1.00=    inf-        inf-
unitcommit_50_20_2_mod_8      1.00=   1.12-   1.00=   1.00=   1.00=    inf-        inf-
watercontamination0202        1.00=  19.74-   1.00=   1.00=   1.00=   1.00=      19.74-
watercontamination0202r       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
watercontamination0303        1.00=  12.82-   1.00=   1.00=   1.00=   1.00=      12.82-
watercontamination0303r       1.00=   1.26-   1.00=   1.00=   1.00=   1.00=       1.26-
