                                   Instance                                    |                                   Scp2804s@1                                   |                                     aecp@1                                     |                                     aoa@0                                      |                                    baron@0                                     |                                    dicopt@1                                    |                                     sbb@1                                      |
clay0204hfsg                 164    32    234 min  6.545000e+03  6.545000e+03  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.35      302  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    3.19       --  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.19       --  |normal      6.540000e+03    0.08  6.545000e+03    0.00   0.08    0.92        4  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.55       --  |normal      6.540000e+03    0.08  6.545000e+03    0.00   0.08   15.57     2487  |
clay0204m                     52    32     90 min  6.545000e+03  6.545000e+03  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00    0.20        0  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    1.15       --  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.11       --  |normal      6.540000e+03    0.08  6.545000e+03    0.00   0.08    0.31        4  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.17       --  |normal      6.540000e+03    0.08  6.545000e+03    0.00   0.08    3.81     2561  |
clay0205h                    260    50    365 min  8.092500e+03  8.092500e+03  |normal      8.092495e+03    0.00  8.092495e+03   -0.00   0.00    1.29     5164  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00   15.94       --  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    1.04       --  |normal      8.084416e+03    0.10  8.092500e+03    0.00   0.10    3.02       33  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    5.01       --  |normal      8.085000e+03    0.09  8.092500e+03    0.00   0.09  222.16    57691  |
clay0205hfsg                 260    50    365 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    0.84     2067  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    9.81       --  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    0.92       --  |normal      8.084416e+03    0.10  8.092500e+03    0.00   0.10    3.79       37  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    3.07       --  |normal      8.085000e+03    0.09  8.092500e+03    0.00   0.09  708.53    76902  |
clay0205m                     80    50    135 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00    0.60        0  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    5.74       --  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    0.58       --  |normal      8.084416e+03    0.10  8.092500e+03    0.00   0.10    2.06       42  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    1.42       --  |normal      8.084902e+03    0.09  8.092500e+03    0.00   0.09   83.37    50549  |
clay0303h                     99    21    150 min  2.666913e+04  2.666913e+04  |normal      2.666813e+04    0.00  2.666813e+04   -0.00   0.00    0.25      141  |normal      2.666913e+04    0.00  2.666913e+04   -0.00   0.00    1.22       --  |normal      2.666913e+04    0.00  2.666913e+04   -0.00   0.00    0.15       --  |normal      2.664249e+04    0.10  2.666913e+04   -0.00   0.10    0.91       29  |normal      2.666913e+04    0.00  2.666913e+04   -0.00   0.00    0.56       --  |normal      2.666913e+04    0.00  2.666913e+04   -0.00   0.00    2.68      661  |
clay0303hfsg                  99    21    150 min  2.666911e+04  2.666911e+04  |normal      2.666909e+04    0.00  2.666909e+04   -0.00   0.00    0.16      131  |normal      2.666911e+04   -0.00  2.666911e+04    0.00   0.00    2.60       --  |normal      2.666911e+04    0.00  2.666911e+04    0.00   0.00    0.10       --  |normal      2.664247e+04    0.10  2.666911e+04    0.00   0.10    1.87       31  |normal      2.666911e+04   -0.00  2.666911e+04    0.00   0.00    0.49       --  |normal      2.666911e+04   -0.00  2.666911e+04    0.00   0.00    4.46      624  |
clay0303m                     33    21     66 min  2.666911e+04  2.666911e+04  |normal      2.666911e+04    0.00  2.666911e+04   -0.00   0.00    0.14        0  |normal      2.666911e+04    0.00  2.666911e+04    0.00   0.00    1.25       --  |normal      2.666911e+04    0.00  2.666911e+04    0.00   0.00    0.13       --  |normal      2.664247e+04    0.10  2.666911e+04   -0.00   0.10    1.30      125  |normal      2.666911e+04   -0.00  2.666911e+04    0.00   0.00    0.27       --  |normal      2.758834e+04   -3.45  2.758834e+04    3.45   0.00    0.60      270 !|
clay0304h                    176    36    258 min  4.026242e+04  4.026242e+04  |normal      4.026222e+04    0.00  4.026222e+04   -0.00   0.00    0.47     1128  |normal      4.026242e+04    0.00  4.026242e+04    0.00   0.00    7.02       --  |normal      4.026242e+04    0.00  4.026242e+04    0.00   0.00    0.47       --  |normal      4.022220e+04    0.10  4.026242e+04   -0.00   0.10    4.02      113  |normal      4.026242e+04   -0.00  4.026242e+04    0.00   0.00    1.81       --  |normal      4.022660e+04    0.09  4.026242e+04    0.00   0.09  188.64    30824  |
clay0304hfsg                 176    36    258 min  4.026239e+04  4.026239e+04  |normal      4.026231e+04    0.00  4.026231e+04   -0.00   0.00    0.49      939  |normal      4.026239e+04    0.00  4.026239e+04    0.00   0.00    5.30       --  |normal      4.026239e+04    0.00  4.026239e+04    0.00   0.00    0.36       --  |normal      4.022217e+04    0.10  4.026239e+04    0.00   0.10    6.22      175  |normal      4.026239e+04   -0.00  4.026239e+04    0.00   0.00    1.07       --  |normal      4.023955e+04    0.06  4.026239e+04    0.00   0.06  193.43    16546  |
clay0304m                     56    36    106 min  4.026239e+04  4.026239e+04  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00    0.33        0  |normal      4.026239e+04    0.00  4.026239e+04   -0.00  -0.00    4.70       --  |normal      4.026239e+04    0.00  4.026239e+04    0.00   0.00    0.34       --  |normal      4.022217e+04    0.10  4.026239e+04    0.00   0.10    3.33      175  |normal      4.026239e+04   -0.00  4.026239e+04    0.00   0.00    0.99       --  |normal      4.026239e+04    0.00  4.026239e+04    0.00   0.00   39.69    19939  |
clay0305h                    275    55    395 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00    1.74     6275  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00   19.09       --  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    1.42       --  |normal      8.084416e+03    0.10  8.092500e+03    0.00   0.10    2.62       17  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    7.78       --  |normal      8.084875e+03    0.09  8.092500e+03    0.00   0.09  575.91   105373  |
clay0305hfsg                 275    55    395 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    1.30     1215  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00   28.34       --  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    1.41       --  |normal      8.084416e+03    0.10  8.092500e+03    0.00   0.10    2.41        7  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    3.00       --  |normal      8.084590e+03    0.10  8.092500e+03    0.00   0.10  855.59    74371  |
clay0305m                     85    55    155 min  8.092500e+03  8.092500e+03  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00    1.07        0  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    4.58       --  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    0.86       --  |normal      8.084416e+03    0.10  8.092500e+03    0.00   0.10    2.58       78  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    1.95       --  |normal      8.085000e+03    0.09  8.092500e+03    0.00   0.09   68.63    34883  |
color_lab2_4x0               300   300     61 min -2.353678e+00  4.307500e+01  |timelim    -4.146373e+01      --  4.927500e+01      --    inf  900.03        0  |timelim    -2.920157e+01      --  7.005000e+01      --    inf  903.20       --  |timelim     3.254006e+01      --  4.620000e+01      --  41.98  921.20       --  |timelim     3.281667e+01      --  5.667500e+01      --  72.70  900.07     3655  |timelim     3.254006e+01      --  5.040000e+01      --  54.89  900.00       --  |timelim     3.361914e+01      --  4.435000e+01      --  31.92  905.35     9878  |
color_lab6b_4x20             235   235     48 min -6.829526e+03  6.325000e+00  |timelim    -2.271729e+00      --  6.325000e+00      --    inf  900.03        0  |timelim    -1.703787e+01      --  9.400000e+00      --    inf  904.66       --  |timelim    -2.858712e+00      --  8.550000e+00      --    inf  921.18       --  |timelim    -2.641989e+00      --  1.832500e+01      --    inf  900.00     6766  |timelim    -2.858712e+00      --  9.175000e+00      --    inf  900.25       --  |timelim    -1.803090e+00      --  7.650000e+00      --    inf  906.06    13176  |
cvxnonsep_normcon20           20    10      1 min -2.174915e+01 -2.174915e+01  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00    0.11       23  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00  117.48       --  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00    1.00       --  |normal     -2.175820e+01    0.04 -2.174915e+01   -0.00   0.04    0.15        9  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00   26.05       --  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00    0.17       22  |
cvxnonsep_normcon20r          40    10     21 min -2.174915e+01 -2.174915e+01  |normal     -2.174914e+01   -0.00 -2.174914e+01    0.00   0.00    0.06        0  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00    1.37       --  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00    0.05       --  |normal     -2.177092e+01    0.10 -2.174915e+01   -0.00   0.10    0.09        1  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00    0.10       --  |normal     -2.174915e+01    0.00 -2.174915e+01   -0.00   0.00    0.18       22  |
cvxnonsep_normcon30           30    15      1 min -3.424397e+01 -3.424397e+01  |normal     -3.423397e+01   -0.03 -3.423397e+01    0.03   0.00    0.21      125  |timelim    -3.451555e+01    0.79 -3.424397e+01   -0.00   0.79  902.02       --  |normal     -3.424397e+01    0.00 -3.424397e+01   -0.00   0.00   11.19       --  |normal     -3.427824e+01    0.10 -3.424397e+01   -0.00   0.10    0.39       37  |timelim    -3.440394e+01    0.47 -3.424397e+01    0.00   0.47  900.09       --  |normal     -3.427467e+01    0.09 -3.424397e+01    0.00   0.09    0.21       56  |
cvxnonsep_normcon30r          60    15     31 min -3.424397e+01 -3.424397e+01  |normal     -3.422751e+01   -0.05 -3.422751e+01    0.05   0.00    0.13        0  |normal     -3.424397e+01    0.00 -3.424397e+01    0.00   0.00    2.22       --  |normal     -3.424397e+01    0.00 -3.424397e+01   -0.00   0.00    0.08       --  |normal     -3.427824e+01    0.10 -3.424397e+01   -0.00   0.10    0.38       29  |normal     -3.422751e+01   -0.05 -3.422751e+01    0.05   0.00    0.20       --  |normal     -3.427467e+01    0.09 -3.424397e+01    0.00   0.09    0.23       56  |
cvxnonsep_normcon40           40    20      1 min -3.262967e+01 -3.262967e+01  |normal     -3.262967e+01   -0.00 -3.262967e+01    0.00   0.00    0.24        0  |timelim    -3.333048e+01    2.15 -3.259967e+01    0.09   2.24  901.15       --  |normal     -3.262967e+01   -0.00 -3.262967e+01    0.00   0.00  364.79       --  |normal     -3.266233e+01    0.10 -3.262967e+01    0.00   0.10    1.10      117  |timelim    -3.288554e+01    0.78 -3.262967e+01    0.00   0.78  900.05       --  |normal     -3.266231e+01    0.10 -3.262967e+01    0.00   0.10    0.37      184  |
cvxnonsep_normcon40r          80    20     41 min -3.262967e+01 -3.262967e+01  |normal     -3.262967e+01   -0.00 -3.262967e+01    0.00   0.00    0.10        0  |normal     -3.262967e+01    0.00 -3.262967e+01    0.00   0.00    3.67       --  |normal     -3.262967e+01   -0.00 -3.262967e+01    0.00   0.00    0.10       --  |normal     -3.266233e+01    0.10 -3.262967e+01    0.00   0.10    1.00      115  |normal     -3.262967e+01   -0.00 -3.262967e+01    0.00   0.00    0.09       --  |normal     -3.266231e+01    0.10 -3.262967e+01    0.00   0.10    0.47      184  |
cvxnonsep_nsig20              20    10      1 min  8.094930e+01  8.094930e+01  |normal      8.094913e+01    0.00  8.094913e+01   -0.00   0.00    0.10       47  |normal      8.094924e+01    0.00  8.094930e+01    0.00   0.00  136.23       --  |normal      8.094930e+01   -0.00  8.094930e+01    0.00   0.00    1.06       --  |normal      8.091243e+01    0.05  8.095689e+01    0.01   0.05    0.28       21  |normal      8.094930e+01    0.00  8.094930e+01    0.00   0.00   21.11       --  |normal      8.087242e+01    0.10  8.094930e+01   -0.00   0.10    0.18       20  |
cvxnonsep_nsig20r             40    10     21 min  8.094930e+01  8.094930e+01  |normal      8.095689e+01   -0.01  8.095689e+01    0.01   0.00    0.11       31  |normal      8.094906e+01    0.00  8.094930e+01    0.00   0.00    1.78       --  |normal      8.096519e+01   -0.02  8.096519e+01    0.02   0.00    0.08       --  |normal      8.090894e+01    0.05  8.098985e+01    0.05   0.10    0.14        5  |normal      8.094930e+01    0.00  8.094930e+01    0.00   0.00    0.14       --  |normal      8.087242e+01    0.10  8.094930e+01    0.00   0.10    0.19       20  |
cvxnonsep_nsig30              30    15      1 min  1.306287e+02  1.306287e+02  |normal      1.306438e+02   -0.01  1.306438e+02    0.01   0.00    0.12       27  |timelim     1.305454e+02    0.06  1.306287e+02    0.00   0.06  901.15       --  |normal      1.306287e+02   -0.00  1.306287e+02    0.00   0.00   41.10       --  |normal      1.305703e+02    0.04  1.307008e+02    0.06   0.10    1.12       69  |normal      1.306484e+02   -0.02  1.306484e+02    0.02   0.00  474.43       --  |normal      1.305012e+02    0.10  1.306287e+02    0.00   0.10    0.18       24  |
cvxnonsep_nsig30r             60    15     31 min  1.564267e+02  1.564267e+02  |normal      1.564566e+02   -0.02  1.564566e+02    0.02   0.00    0.17      155  |normal      1.564261e+02    0.00  1.564267e+02   -0.00   0.00    3.58       --  |normal      1.564329e+02   -0.00  1.564329e+02    0.00   0.00    0.11       --  |normal      1.562704e+02    0.10  1.564267e+02   -0.00   0.10    0.21        7  |normal      1.564267e+02    0.00  1.564267e+02   -0.00   0.00    0.17       --  |normal      1.562733e+02    0.10  1.564267e+02   -0.00   0.10    0.21       28  |
cvxnonsep_nsig40              40    20      1 min  1.339613e+02  1.339613e+02  |normal      1.339602e+02    0.00  1.339602e+02   -0.00   0.00    0.12      133  |timelim     1.337124e+02    0.19  1.339800e+02    0.01   0.20  900.54       --  |normal      1.339613e+02    0.00  1.339613e+02   -0.00   0.00   42.30       --  |normal      1.338990e+02    0.05  1.339868e+02    0.02   0.07    1.63       67  |timelim     1.337594e+02    0.15  1.339613e+02   -0.00   0.15  900.04       --  |normal      1.338283e+02    0.10  1.339613e+02   -0.00   0.10    0.26       67  |
cvxnonsep_nsig40r             80    20     41 min  1.339613e+02  1.339613e+02  |normal      1.339835e+02   -0.02  1.339835e+02    0.02   0.00    0.25      237  |normal      1.339605e+02    0.00  1.339613e+02   -0.00   0.00    5.07       --  |normal      1.339913e+02   -0.02  1.339913e+02    0.02   0.00    0.17       --  |normal      1.338859e+02    0.06  1.340198e+02    0.04   0.10    0.56       15  |normal      1.339613e+02    0.00  1.339613e+02   -0.00   0.00    0.21       --  |normal      1.338283e+02    0.10  1.339613e+02   -0.00   0.10    0.32       67  |
cvxnonsep_pcon20              20    10      1 min -2.151230e+01 -2.151230e+01  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00    0.07        0  |other      -2.151230e+01    0.00 -2.150052e+01    0.05   0.05   30.79       -- !|normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00    0.22       --  |normal     -2.153384e+01    0.10 -2.151230e+01   -0.00   0.10    0.13        9  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00    3.22       --  |normal     -2.151699e+01    0.02 -2.150052e+01    0.05   0.08    0.21       46  |
cvxnonsep_pcon20r             39    10     20 min -2.151230e+01 -2.151230e+01  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00    0.11        1  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00    2.08       --  |normal     -2.151230e+01    0.00 -2.151230e+01   -0.00   0.00    0.04       --  |normal     -2.153384e+01    0.10 -2.151230e+01   -0.00   0.10    0.15        7  |normal     -2.150052e+01   -0.05 -2.150052e+01    0.05   0.00    0.10       --  |normal     -2.151699e+01    0.02 -2.150052e+01    0.05   0.08    0.23       46  |
cvxnonsep_pcon30              30    15      1 min -3.598684e+01 -3.598684e+01  |normal     -3.598684e+01   -0.00 -3.598684e+01    0.00   0.00    0.09        0  |other      -3.598684e+01    0.00 -3.598684e+01    0.00   0.00  638.30       -- !|normal     -3.598684e+01   -0.00 -3.598684e+01    0.00   0.00    1.11       --  |normal     -3.602287e+01    0.10 -3.598684e+01    0.00   0.10    0.34       27  |normal     -3.598684e+01   -0.00 -3.598684e+01    0.00   0.00   27.58       --  |normal     -3.599797e+01    0.03 -3.596376e+01    0.06   0.10    0.27       86  |
