                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
cvxnonsep_nsig20r              1.0                       10.0               22.0             101.0                       20.0               41.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig20               1.0                       10.0                2.0              61.0                       20.0               21.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig30r              1.0                       15.0               32.0             151.0                       30.0               61.0      1.564267e+02    1.564267e+02  False           
cvxnonsep_nsig30               1.0                       15.0                2.0              91.0                       30.0               31.0      1.306287e+02    1.306287e+02  False           
cvxnonsep_nsig40r              1.0                       20.0               42.0             201.0                       40.0               81.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_nsig40               1.0                       20.0                2.0             121.0                       40.0               41.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_pcon20r              1.0                       10.0               21.0             117.0                       20.0               40.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon20               1.0                       10.0                2.0              61.0                       20.0               21.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon30r              1.0                       15.0               31.0             177.0                       30.0               60.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon30               1.0                       15.0                2.0              91.0                       30.0               31.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon40r              1.0                       20.0               41.0             237.0                       40.0               80.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_pcon40               1.0                       20.0                2.0             121.0                       40.0               41.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_psig20r              1.0                       10.0               23.0             106.0                       21.0               43.0      9.589739e+01    9.589739e+01  False           
cvxnonsep_psig20               1.0                       10.0                1.0              21.0                       20.0               21.0      9.381139e+01    9.381139e+01  False           
cvxnonsep_psig30r              1.0                       15.0               33.0             156.0                       31.0               63.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig30               1.0                       15.0                1.0              31.0                       30.0               31.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig40r              1.0                       20.0               43.0             206.0                       41.0               83.0      8.654510e+01    8.654510e+01  False           
cvxnonsep_psig40               1.0                       20.0                1.0              41.0                       40.0               41.0      8.549577e+01    8.549577e+01  False           
du-opt5                        1.0                       13.0               10.0              67.0                       20.0               21.0      8.073658e+00    8.073658e+00  False           
du-opt                         1.0                       13.0               10.0              67.0                       20.0               21.0      3.556340e+00    3.556340e+00  False           
enpro48pb                      1.0                       92.0              215.0             746.0                       29.0              154.0      1.872773e+05    1.872773e+05  False           
enpro56pb                      1.0                       73.0              192.0             656.0                       24.0              128.0      2.634283e+05    2.634283e+05  False           
ex1223a                        1.0                        4.0               10.0              35.0                        3.0                8.0      4.579582e+00    4.579582e+00  False           
ex1223b                        1.0                        4.0               10.0              32.0                        7.0                8.0      4.579582e+00    4.579582e+00  False           
ex1223                         1.0                        4.0               14.0              40.0                        7.0               12.0      4.579582e+00    4.579582e+00  False           
ex4                            1.0                       25.0               31.0             240.0                        5.0               37.0     -8.064136e+00   -8.064136e+00  False           
fac1                           1.0                        6.0               19.0              75.0                       16.0               23.0      1.609126e+08    1.609126e+08  False           
fac2                           1.0                       12.0               34.0             217.0                       54.0               67.0      3.318375e+08    3.318375e+08  False           
fac3                           1.0                       12.0               34.0             271.0                       54.0               67.0      3.198231e+07    3.198231e+07  False           
flay02h                        1.0                        4.0               52.0             141.0                        2.0               47.0      3.794733e+01    3.794733e+01  False           
flay02m                        1.0                        4.0               12.0              41.0                        2.0               15.0      3.794733e+01    3.794733e+01  False           
flay03h                        1.0                       12.0              145.0             390.0                        3.0              123.0      4.898979e+01    4.898979e+01  False           
flay03m                        1.0                       12.0               25.0              90.0                        3.0               27.0      4.898979e+01    4.898979e+01  False           
flay04h                        1.0                       24.0              283.0             759.0                        4.0              235.0      5.440588e+01    5.440588e+01  False           
flay04m                        1.0                       24.0               43.0             159.0                        4.0               43.0      5.440588e+01    5.440588e+01  False           
flay05h                        1.0                       40.0              466.0            1248.0                        5.0              383.0      6.449806e+01    6.449806e+01  False           
flay05m                        1.0                       40.0               66.0             248.0                        5.0               63.0      6.449806e+01    6.449806e+01  False           
flay06h                        1.0                       60.0              694.0            1857.0                        6.0              567.0      6.693280e+01    6.693280e+01  False           
flay06m                        1.0                       60.0               94.0             357.0                        6.0               87.0      6.693280e+01    6.693263e+01  False           
fo7_2                          1.0                       42.0              212.0             883.0                       14.0              115.0      1.774935e+01    1.774935e+01  False           
fo7_ar25_1                     1.0                       42.0              270.0            1069.0                       14.0              113.0      2.309357e+01    2.309357e+01  False           
fo7_ar2_1                      1.0                       42.0              270.0            1069.0                       14.0              113.0      2.483985e+01    2.483985e+01  False           
fo7_ar3_1                      1.0                       42.0              270.0            1069.0                       14.0              113.0      2.251747e+01    2.251747e+01  False           
fo7_ar4_1                      1.0                       42.0              270.0            1069.0                       14.0              113.0      2.072983e+01    2.072983e+01  False           
fo7_ar5_1                      1.0                       42.0              270.0            1069.0                       14.0              113.0      1.774933e+01    1.774933e+01  False           
fo7                            1.0                       42.0              212.0             883.0                       14.0              115.0      2.072983e+01    2.072983e+01  False           
fo8_ar25_1                     1.0                       56.0              348.0            1397.0                       16.0              145.0      2.804518e+01    2.804518e+01  False           
fo8_ar2_1                      1.0                       56.0              348.0            1397.0                       16.0              145.0      3.034061e+01    3.034061e+01  False           
fo8_ar3_1                      1.0                       56.0              348.0            1397.0                       16.0              145.0      2.391005e+01    2.391005e+01  False           
fo8_ar4_1                      1.0                       56.0              348.0            1397.0                       16.0              145.0      2.238190e+01    2.238190e+01  False           
fo8_ar5_1                      1.0                       56.0              348.0            1397.0                       16.0              145.0      2.238190e+01    2.238190e+01  False           
fo8                            1.0                       56.0              274.0            1153.0                       16.0              147.0      2.238190e+01    2.238190e+01  False           
fo9_ar25_1                     1.0                       72.0              436.0            1769.0                       18.0              181.0      3.218643e+01    3.218643e+01  False           
fo9_ar2_1                      1.0                       72.0              436.0            1769.0                       18.0              181.0      3.262500e+01    3.262500e+01  False           
fo9_ar3_1                      1.0                       72.0              436.0            1769.0                       18.0              181.0      2.481548e+01    2.481548e+01  False           
fo9_ar4_1                      1.0                       72.0              436.0            1769.0                       18.0              181.0      2.346429e+01    2.346429e+01  False           
fo9_ar5_1                      1.0                       72.0              436.0            1769.0                       18.0              181.0      2.346429e+01    2.346429e+01  False           
fo9                            1.0                       72.0              344.0            1459.0                       18.0              183.0      2.346429e+01    2.346429e+01  False           
gams01                         1.0                      110.0             1269.0           24417.0                       32.0              146.0      2.138020e+04    2.138020e+04  False           
gbd                            1.0                        3.0                5.0              17.0                        1.0                5.0      2.200000e+00    2.200000e+00  False           
hybriddynamic_fixed            1.0                       10.0               80.0             191.0                       11.0               72.0      1.473778e+00    1.473778e+00  False           
ibs2                           1.0                     1500.0             1822.0           16511.0                     3000.0             3011.0      4.452848e+00    4.452848e+00  False           
jit1                           1.0                        4.0               33.0             112.0                       12.0               26.0      1.739833e+05    1.739833e+05  False           
m3                             1.0                        6.0               44.0             163.0                        6.0               27.0      3.780000e+01    3.780000e+01  False           
m6                             1.0                       30.0              158.0             647.0                       12.0               87.0      8.225688e+01    8.225688e+01  False           
m7_ar25_1                      1.0                       42.0              270.0            1067.0                       14.0              113.0      1.435850e+02    1.435850e+02  False           
m7_ar2_1                       1.0                       42.0              270.0            1067.0                       14.0              113.0      1.902350e+02    1.902350e+02  False           
m7_ar3_1                       1.0                       42.0              270.0            1067.0                       14.0              113.0      1.435850e+02    1.435850e+02  False           
m7_ar4_1                       1.0                       42.0              270.0            1067.0                       14.0              113.0      1.067569e+02    1.067569e+02  False           
m7_ar5_1                       1.0                       42.0              270.0            1067.0                       14.0              113.0      1.064600e+02    1.064600e+02  False           
m7                             1.0                       42.0              212.0             881.0                       14.0              115.0      1.067569e+02    1.067569e+02  False           
meanvarxsc                     1.0                       14.0               31.0              90.0                        7.0               36.0      1.436923e+01    1.436923e+01  False           
meanvarx                       1.0                       14.0               45.0             118.0                        7.0               36.0      1.436923e+01    1.436923e+01  False           
netmod_dol1                    1.0                      462.0             3138.0            8569.0                        6.0             1999.0     -5.600084e-01   -5.600084e-01  False           
netmod_dol2                    1.0                      462.0             3081.0           18737.0                        6.0             1999.0     -5.600084e-01   -5.600084e-01  False           
netmod_kar1                    1.0                      136.0              667.0            1849.0                        4.0              457.0     -4.197896e-01   -4.197896e-01  False           
netmod_kar2                    1.0                      136.0              667.0            1849.0                        4.0              457.0     -4.197896e-01   -4.197896e-01  False           
no7_ar25_1                     1.0                       42.0              270.0            1075.0                       14.0              113.0      1.078153e+02    1.078153e+02  False           
no7_ar2_1                      1.0                       42.0              270.0            1075.0                       14.0              113.0      1.078153e+02    1.078153e+02  False           
no7_ar3_1                      1.0                       42.0              270.0            1075.0                       14.0              113.0      1.078153e+02    1.078153e+02  False           
no7_ar4_1                      1.0                       42.0              270.0            1075.0                       14.0              113.0      9.851840e+01    9.851840e+01  False           
no7_ar5_1                      1.0                       42.0              270.0            1075.0                       14.0              113.0      9.062267e+01    9.062267e+01  False           
nvs03                          1.0                        2.0                3.0               9.0                        2.0                3.0      1.600000e+01    1.600000e+01  False           
nvs10                          1.0                        2.0                3.0               9.0                        2.0                3.0     -3.108000e+02   -3.108000e+02  False           
nvs11                          1.0                        3.0                4.0              16.0                        3.0                4.0     -4.310000e+02   -4.310000e+02  False           
nvs12                          1.0                        4.0                5.0              25.0                        4.0                5.0     -4.812000e+02   -4.812000e+02  False           
nvs15                          1.0                        3.0                2.0              10.0                        3.0                4.0      1.000000e+00    1.000000e+00  False           
o7_2                           1.0                       42.0              212.0             891.0                       14.0              115.0      1.169459e+02    1.169459e+02  False           
o7_ar25_1                      1.0                       42.0              270.0            1077.0                       14.0              113.0      1.404120e+02    1.404120e+02  False           
o7_ar2_1                       1.0                       42.0              270.0            1077.0                       14.0              113.0      1.404120e+02    1.404120e+02  False           
o7_ar3_1                       1.0                       42.0              270.0            1077.0                       14.0              113.0      1.379318e+02    1.379318e+02  False           
o7_ar4_1                       1.0                       42.0              270.0            1077.0                       14.0              113.0      1.316531e+02    1.316531e+02  False           
o7_ar5_1                       1.0                       42.0              270.0            1077.0                       14.0              113.0      1.169458e+02    1.169458e+02  False           
o7                             1.0                       42.0              212.0             891.0                       14.0              115.0      1.316531e+02    1.316531e+02  False           
o8_ar4_1                       1.0                       56.0              348.0            1413.0                       16.0              145.0      2.430707e+02    2.430707e+02  False           
o9_ar4_1                       1.0                       72.0              436.0            1783.0                       18.0              181.0      2.361385e+02    2.361385e+02  False           
portfol_buyin                  1.0                        8.0               20.0              67.0                        8.0               18.0      2.942380e-02    2.942380e-02  False           
portfol_card                   1.0                        8.0               21.0              75.0                        8.0               18.0      3.221766e-02    3.221766e-02  False           
portfol_classical050_1         1.0                       50.0              104.0            2901.0                       50.0              151.0     -9.476012e-02   -9.476012e-02  False           
portfol_classical200_2         1.0                      200.0              404.0           41601.0                      200.0              601.0     -1.100882e-01   -1.100882e-01  False           
portfol_roundlot               1.0                        8.0               12.0              51.0                        8.0               18.0      2.829063e-02    2.829031e-02  False           
procurement2mot               -1.0                       60.0              762.0            2493.0                       12.0              797.0      2.120707e+02    2.120707e+02  False           
ravempb                        1.0                       54.0              187.0             616.0                       28.0              113.0      2.695902e+05    2.695902e+05  False           
risk2bpb                       1.0                       14.0              581.0            2289.0                        3.0              464.0     -5.587614e+01   -5.587614e+01  False           
rsyn0805h                     -1.0                       37.0              430.0            1068.0                        9.0              309.0      1.296121e+03    1.296121e+03  False           
rsyn0805m02h                  -1.0                      148.0             1046.0            2572.0                       18.0              701.0      2.238397e+03    2.238397e+03  False           
rsyn0805m02m                  -1.0                      148.0              770.0            1958.0                        6.0              361.0      2.238395e+03    2.238395e+03  False           
rsyn0805m03h                  -1.0                      222.0             1699.0            4162.0                       27.0             1051.0      3.068933e+03    3.068933e+03  False           
rsyn0805m03m                  -1.0                      222.0             1285.0            3239.0                        9.0              541.0      3.068931e+03    3.068931e+03  False           
rsyn0805m04h                  -1.0                      296.0             2439.0            5955.0                       36.0             1401.0      7.174222e+03    7.174222e+03  False           
rsyn0805m04m                  -1.0                      296.0             1887.0            4721.0                       12.0              721.0      7.174219e+03    7.174219e+03  False           
rsyn0805m                     -1.0                       69.0              287.0             749.0                        3.0              171.0      1.296121e+03    1.296121e+03  False           
rsyn0810h                     -1.0                       42.0              484.0            1200.0                       18.0              344.0      1.721448e+03    1.721448e+03  False           
rsyn0810m02h                  -1.0                      168.0             1189.0            2911.0                       36.0              791.0      1.741388e+03    1.741388e+03  False           
rsyn0810m02m                  -1.0                      168.0              867.0            2201.0                       12.0              411.0      1.741387e+03    1.741387e+03  False           
rsyn0810m03h                  -1.0                      252.0             1936.0            4723.0                       54.0             1186.0      2.722449e+03    2.722449e+03  False           
rsyn0810m03m                  -1.0                      252.0             1453.0            3656.0                       18.0              616.0      2.722448e+03    2.722448e+03  False           
rsyn0810m04h                  -1.0                      336.0             2785.0            6773.0                       72.0             1581.0      6.581937e+03    6.581937e+03  False           
rsyn0810m04m                  -1.0                      336.0             2141.0            5347.0                       24.0              821.0      6.581934e+03    6.581934e+03  False           
rsyn0810m                     -1.0                       74.0              313.0             823.0                        6.0              186.0      1.721448e+03    1.721448e+03  False           
rsyn0815h                     -1.0                       47.0              553.0            1370.0                       31.0              388.0      1.269926e+03    1.269926e+03  False           
rsyn0815m02h                  -1.0                      188.0             1362.0            3332.0                       62.0              899.0      1.774399e+03    1.774399e+03  False           
rsyn0815m02m                  -1.0                      188.0              982.0            2498.0                       22.0              471.0      1.774397e+03    1.774397e+03  False           
rsyn0815m03h                  -1.0                      282.0             2218.0            5407.0                       93.0             1348.0      2.827928e+03    2.827928e+03  False           
rsyn0815m03m                  -1.0                      282.0             1648.0            4154.0                       33.0              706.0      2.827926e+03    2.827926e+03  False           
rsyn0815m04h                  -1.0                      376.0             3191.0            7755.0                      124.0             1797.0      3.410856e+03    3.410856e+03  False           
rsyn0815m04m                  -1.0                      376.0             2431.0            6081.0                       44.0              941.0      3.410854e+03    3.410854e+03  False           
rsyn0815m                     -1.0                       79.0              348.0             921.0                       11.0              206.0      1.269926e+03    1.269926e+03  False           
rsyn0820h                     -1.0                       52.0              605.0            1497.0                       40.0              418.0      1.150301e+03    1.150301e+03  False           
rsyn0820m02h                  -1.0                      208.0             1501.0            3661.0                       80.0              979.0      1.092092e+03    1.092092e+03  False           
rsyn0820m02m                  -1.0                      208.0             1075.0            2731.0                       28.0              511.0      1.092091e+03    1.092091e+03  False           
rsyn0820m03h                  -1.0                      312.0             2449.0            5953.0                      120.0             1468.0      2.028813e+03    2.028813e+03  False           
rsyn0820m03m                  -1.0                      312.0             1810.0            4556.0                       42.0              766.0      2.028812e+03    2.028812e+03  False           
rsyn0820m04h                  -1.0                      416.0             3529.0            8553.0                      160.0             1957.0      2.450773e+03    2.450773e+03  False           
rsyn0820m04m                  -1.0                      416.0             2677.0            6687.0                       56.0             1021.0      2.450772e+03    2.450772e+03  False           
rsyn0820m                     -1.0                       84.0              372.0             990.0                       14.0              216.0      1.150301e+03    1.150301e+03  False           
rsyn0830h                     -1.0                       62.0              717.0            1776.0                       58.0              495.0      5.100721e+02    5.100721e+02  False           
rsyn0830m02h                  -1.0                      248.0             1795.0            4361.0                      116.0             1173.0      7.305074e+02    7.305074e+02  False           
rsyn0830m02m                  -1.0                      248.0             1273.0            3235.0                       40.0              621.0      7.305072e+02    7.305072e+02  False           
rsyn0830m03h                  -1.0                      372.0             2935.0            7108.0                      174.0             1759.0      1.543060e+03    1.543060e+03  False           
rsyn0830m03m                  -1.0                      372.0             2152.0            5419.0                       60.0              931.0      1.543059e+03    1.543059e+03  False           
rsyn0830m04h                  -1.0                      496.0             4237.0           10233.0                      232.0             2345.0      2.529074e+03    2.529074e+03  False           
rsyn0830m04m                  -1.0                      496.0             3193.0            7981.0                       80.0             1241.0      2.529073e+03    2.529073e+03  False           
rsyn0830m                     -1.0                       94.0              426.0            1151.0                       20.0              251.0      5.100720e+02    5.100720e+02  False           
rsyn0840h                     -1.0                       72.0              838.0            2074.0                       80.0              569.0      3.255546e+02    3.255546e+02  False           
rsyn0840m02h                  -1.0                      288.0             2107.0            5107.0                      160.0             1361.0      7.349837e+02    7.349837e+02  False           
rsyn0840m02m                  -1.0                      288.0             1481.0            3761.0                       56.0              721.0      7.349835e+02    7.349835e+02  False           
rsyn0840m03h                  -1.0                      432.0             3448.0            8332.0                      240.0             2041.0      2.742646e+03    2.742646e+03  False           
rsyn0840m03m                  -1.0                      432.0             2509.0            6311.0                       84.0             1081.0      2.742646e+03    2.742646e+03  False           
rsyn0840m04h                  -1.0                      576.0             4981.0           12005.0                      320.0             2721.0      2.564500e+03    2.564500e+03  False           
rsyn0840m04m                  -1.0                      576.0             3729.0            9313.0                      112.0             1441.0      2.564499e+03    2.564499e+03  False           
rsyn0840m                     -1.0                      104.0              485.0            1319.0                       28.0              281.0      3.255545e+02    3.255545e+02  False           
slay04h                        1.0                       24.0              175.0             509.0                        8.0              141.0      9.859660e+03    9.859660e+03  False           
slay04m                        1.0                       24.0               55.0             197.0                        8.0               45.0      9.859660e+03    9.859660e+03  False           
slay05h                        1.0                       40.0              291.0             841.0                       10.0              231.0      2.266468e+04    2.266468e+04  False           
slay05m                        1.0                       40.0               91.0             321.0                       10.0               71.0      2.266468e+04    2.266468e+04  False           
slay06h                        1.0                       60.0              436.0            1255.0                       12.0              343.0      3.275702e+04    3.275702e+04  False           
slay06m                        1.0                       60.0              136.0             475.0                       12.0              103.0      3.275702e+04    3.275702e+04  False           
slay07h                        1.0                       84.0              610.0            1751.0                       14.0              477.0      6.474883e+04    6.474883e+04  False           
slay07m                        1.0                       84.0              190.0             659.0                       14.0              141.0      6.474883e+04    6.474883e+04  False           
slay08h                        1.0                      112.0              813.0            2329.0                       16.0              633.0      8.496021e+04    8.496021e+04  False           
slay08m                        1.0                      112.0              253.0             873.0                       16.0              185.0      8.496021e+04    8.496021e+04  False           
slay09h                        1.0                      144.0             1045.0            2989.0                       18.0              811.0      1.078058e+05    1.078058e+05  False           
slay09m                        1.0                      144.0              325.0            1117.0                       18.0              235.0      1.078058e+05    1.078058e+05  False           
slay10h                        1.0                      180.0             1306.0            3731.0                       20.0             1011.0      1.295799e+05    1.295799e+05  False           
slay10m                        1.0                      180.0              406.0            1391.0                       20.0              291.0      1.295799e+05    1.295799e+05  False           
smallinvDAXr1b010-011          1.0                       30.0                5.0             153.0                       30.0               32.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr1b020-022          1.0                       30.0                5.0             153.0                       30.0               32.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr1b050-055          1.0                       30.0                5.0             153.0                       30.0               32.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr1b100-110          1.0                       30.0                5.0             153.0                       30.0               32.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr1b150-165          1.0                       30.0                5.0             153.0                       30.0               32.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr1b200-220          1.0                       30.0                5.0             153.0                       30.0               32.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr2b010-011          1.0                       30.0                5.0             153.0                       30.0               32.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr2b020-022          1.0                       30.0                5.0             153.0                       30.0               32.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr2b050-055          1.0                       30.0                5.0             153.0                       30.0               32.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr2b100-110          1.0                       30.0                5.0             153.0                       30.0               32.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr2b150-165          1.0                       30.0                5.0             153.0                       30.0               32.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr2b200-220          1.0                       30.0                5.0             153.0                       30.0               32.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr3b010-011          1.0                       30.0                5.0             153.0                       30.0               32.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr3b020-022          1.0                       30.0                5.0             153.0                       30.0               32.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr3b050-055          1.0                       30.0                5.0             153.0                       30.0               32.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr3b100-110          1.0                       30.0                5.0             153.0                       30.0               32.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr3b150-165          1.0                       30.0                5.0             153.0                       30.0               32.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr3b200-220          1.0                       30.0                5.0             153.0                       30.0               32.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr4b010-011          1.0                       30.0                5.0             153.0                       30.0               32.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr4b020-022          1.0                       30.0                5.0             153.0                       30.0               32.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr4b050-055          1.0                       30.0                5.0             153.0                       30.0               32.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr4b100-110          1.0                       30.0                5.0             153.0                       30.0               32.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr4b150-165          1.0                       30.0                5.0             153.0                       30.0               32.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr4b200-220          1.0                       30.0                5.0             153.0                       30.0               32.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr5b010-011          1.0                       30.0                5.0             153.0                       30.0               32.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr5b020-022          1.0                       30.0                5.0             153.0                       30.0               32.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr5b050-055          1.0                       30.0                5.0             153.0                       30.0               32.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr5b100-110          1.0                       30.0                5.0             153.0                       30.0               32.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr5b150-165          1.0                       30.0                5.0             153.0                       30.0               32.0      8.810493e+01    8.810493e+01  False           
